Unnamed: 0,Episode Title,Date,Date.1,Time,Length,⇩ Rating,Share,AI,Chart
1,City of Death: Part Four,Sat,20 Oct 1979,6:16pm,00:25:00,16.10m,,64.0,16
2,City of Death: Part Three,Sat,13 Oct 1979,6:04pm,00:25:00,15.40m,,,34
3,Destiny of the Daleks: Episode Four,Sat,22 Sep 1979,6:17pm,00:26:05,14.40m,,64.0,27
4,City of Death: Part Two,Sat,6 Oct 1979,6:17pm,00:25:00,14.10m,,64.0,44
5,Destiny of the Daleks: Episode Three,Sat,15 Sep 1979,6:08pm,00:24:32,13.80m,,63.0,28
6,The Ark In Space: Part Two,Sat,1 Feb 1975,5:30pm,00:24:49,13.60m,,,5
7,The Web Planet,Sat,13 Feb 1965,5:40pm,00:23:57,13.50m,,56.0,7
8,Voyage of the Damned,Tue,25 Dec 2007,6:51pm,01:11:50,13.31m,51.6%,85.0,2
9,The Next Doctor,Thu,25 Dec 2008,6:00pm,01:00:40,13.10m,52.1%,86.0,2
10,The Robots of Death: Part Three,Sat,12 Feb 1977,6:18pm,00:23:51,13.10m,,,15
11,The Romans: The Slave Traders,Sat,16 Jan 1965,5:40pm,00:24:14,13.00m,,53.0,7
12,The Rescue: Desperate Measures,Sat,9 Jan 1965,5:41pm,00:24:36,13.00m,,59.0,8
13,The Web Planet: Crater of Needles,Sat,6 Mar 1965,5:39pm,00:25:50,13.00m,,49.0,9
14,The Deadly Assassin: Part Three,Sat,13 Nov 1976,6:07pm,00:24:20,13.00m,,,12
15,Destiny of the Daleks: Episode One,Sat,1 Sep 1979,6:13pm,00:24:03,13.00m,,67.0,28
16,The Day of The Doctor,Sat,23 Nov 2013,7:50pm,01:16:44,12.80m,40.9%,88.0,1
17,Destiny of the Daleks: Episode Two,Sat,8 Sep 1979,6:09pm,00:25:14,12.70m,,,39
18,The Robots of Death: Part Four,Sat,19 Feb 1977,6:25pm,00:23:42,12.60m,,57.0,18
19,The Web Planet: Escape to Danger,Sat,27 Feb 1965,5:40pm,00:22:52,12.50m,,53.0,11
20,The Web Planet: The Zarbi,Sat,20 Feb 1965,5:40pm,00:23:20,12.50m,,53.0,12
21,The Dalek Invasion of Earth: The Daleks,Sat,28 Nov 1964,5:41pm,00:24:19,12.40m,,59.0,10
22,The Dalek Invasion of Earth: Flashpoint,Sat,26 Dec 1964,5:58pm,00:25:21,12.40m,,60.0,12
23,The Robots of Death: Part Two,Sat,5 Feb 1977,6:22pm,00:24:15,12.40m,,,17
24,The Power of Kroll: Part Two,Sat,30 Dec 1978,6:30pm,00:23:57,12.40m,,,26
25,City of Death: Part One,Sat,29 Sep 1979,6:06pm,00:25:00,12.40m,,,50
26,The End of Time: Part Two,Fri,1 Jan 2010,6:41pm,01:12:35,12.27m,40.0%,89.0,1
27,A Christmas Carol,Sat,25 Dec 2010,6:01pm,01:02:04,12.11m,41.8%,83.0,4
28,The Deadly Assassin: Part Two,Sat,6 Nov 1976,6:04pm,00:24:44,12.10m,,59.0,11
29,The Android Invasion: Part Three,Sat,6 Dec 1975,5:46pm,00:24:50,12.10m,,,14
30,The Robots of Death: Part One,Sat,29 Jan 1977,6:20pm,00:24:06,12.10m,,62.0,14
31,The End of Time: Part One,Fri,25 Dec 2009,5:59pm,00:59:35,12.04m,44.7%,87.0,1
32,The Rescue: The Powerful Enemy,Sat,2 Jan 1965,5:40pm,00:26:15,12.00m,,57.0,11
33,The Web Planet: Invasion,Sat,13 Mar 1965,5:40pm,00:26:04,12.00m,,48.0,12
34,The Romans: Inferno,Sat,6 Feb 1965,5:40pm,00:23:09,12.00m,,50.0,13
35,The Hand Of Fear: Part Four,Sat,23 Oct 1976,6:02pm,00:25:00,12.00m,,,19
36,The Dalek Invasion of Earth: Day of Reckoning,Sat,5 Dec 1964,5:39pm,00:26:50,11.90m,,59.0,10
37,The Dalek Invasion of Earth: The End of Tomorrow,Sat,12 Dec 1964,5:40pm,00:23:23,11.90m,,59.0,11
38,The Three Doctors: Episode Four,Sat,20 Jan 1973,5:51pm,00:25:07,11.90m,,,17
39,The Android Invasion: Part One,Sat,22 Nov 1975,5:47pm,00:24:21,11.90m,,58.0,17
40,The Deadly Assassin: Part Four,Sat,20 Nov 1976,6:07pm,00:24:30,11.80m,,61.0,12
41,The Deadly Assassin: Part One,Sat,30 Oct 1976,6:09pm,00:21:13,11.80m,,,15
42,The Face of Evil: Part Four,Sat,22 Jan 1977,6:26pm,00:24:46,11.70m,,60.0,19
43,Pyramids of Mars: Part Four,Sat,15 Nov 1975,5:45pm,00:24:52,11.70m,,60.0,22
44,Underworld: Part Four,Sat,28 Jan 1978,6:29pm,00:23:03,11.70m,,,27
45,The Web Planet: The Centre,Sat,20 Mar 1965,5:55pm,00:24:32,11.50m,,42.0,14
46,The Romans: All Roads Lead to Rome,Sat,23 Jan 1965,5:40pm,00:23:14,11.50m,,51.0,15
47,The Seeds of Doom: Part Six,Sat,6 Mar 1976,5:47pm,00:21:51,11.50m,,,15
48,The Dalek Invasion of Earth: World's End,Sat,21 Nov 1964,5:40pm,00:23:42,11.40m,,63.0,12
49,The Android Invasion: Part Four,Sat,13 Dec 1975,5:56pm,00:24:30,11.40m,,,15
50,The Seeds of Doom: Part One,Sat,31 Jan 1976,6:00pm,00:24:10,11.40m,,59.0,16
51,The Dalek Invasion of Earth: The Waking Ally,Sat,19 Dec 1964,5:40pm,00:24:29,11.40m,,58.0,18
52,The Talons of Weng-Chiang: Part Four,Sat,19 Mar 1977,6:31pm,00:24:30,11.40m,,60.0,21
53,The Invasion of Time: Part Two,Sat,11 Feb 1978,6:24pm,00:25:00,11.40m,,,29
54,The Seeds of Doom: Part Two,Sat,7 Feb 1976,5:31pm,00:24:09,11.40m,,,30
55,Galaxy 4: Air Lock,Sat,25 Sep 1965,5:52pm,00:24:19,11.30m,,54.0,13
56,Pyramids of Mars: Part Two,Sat,1 Nov 1975,5:48pm,00:23:53,11.30m,,,15
57,The Talons of Weng-Chiang: Part One,Sat,26 Feb 1977,6:32pm,00:24:44,11.30m,,,16
58,The Face of Evil: Part Three,Sat,15 Jan 1977,6:22pm,00:24:40,11.30m,,59.0,20
59,The Android Invasion: Part Two,Sat,29 Nov 1975,5:45pm,00:24:30,11.30m,,,24
60,The Ark In Space: Part Three,Sat,8 Feb 1975,5:32pm,00:24:05,11.20m,,,17
61,The Invasion of Time: Part One,Sat,4 Feb 1978,6:25pm,00:25:00,11.20m,,56.0,28
62,The Time of the Doctor,Wed,25 Dec 2013,7:30pm,01:01:00,11.14m,35.3%,83.0,3
63,The Face of Evil: Part Two,Sat,8 Jan 1977,6:29pm,00:24:58,11.10m,,,19
64,The Hand Of Fear: Part Three,Sat,16 Oct 1976,6:07pm,00:24:22,11.10m,,62.0,20
65,The Seeds of Doom: Part Four,Sat,21 Feb 1976,5:46pm,00:24:46,11.10m,,,23
66,Planet of the Daleks: Episode One,Sat,7 Apr 1973,6:11pm,00:24:51,11.00m,,,9
67,The Sontaran Experiment: Part One,Sat,22 Feb 1975,5:30pm,00:24:27,11.00m,,,18
68,Carnival Of Monsters: Episode Two,Sat,3 Feb 1973,5:50pm,00:24:11,11.00m,,,20
69,The Curse of Peladon: Episode Two,Sat,5 Feb 1972,5:51pm,00:24:33,11.00m,,,20
70,Invasion of the Dinosaurs: Part One,Sat,12 Jan 1974,5:30pm,00:25:29,11.00m,,62.0,24
71,Invasion of the Dinosaurs: Part Three,Sat,26 Jan 1974,5:30pm,00:23:26,11.00m,,,27
72,The Woman Who Fell to Earth,Sun,7 Oct 2018,6:45pm,01:03:04,10.96m,45.1%,83.0,1
73,The Invasion of Time: Part Four,Sat,25 Feb 1978,6:25pm,00:23:31,10.90m,,,28
74,Rose,Sat,26 Mar 2005,7:00pm,00:44:14,10.81m,44.8%,76.0,7
75,The Three Doctors: Episode Two,Sat,6 Jan 1973,5:51pm,00:24:18,10.80m,,,22
76,The Creature from the Pit: Part Two,Sat,3 Nov 1979,6:07pm,00:24:03,10.80m,,67.0,23
77,Robot: Part One,Sat,28 Dec 1974,5:35pm,00:24:11,10.80m,,53.0,25
78,"The Doctor, The Widow and the Wardrobe",Sun,25 Dec 2011,6:59pm,00:58:22,10.77m,37.3%,84.0,3
79,Robot: Part Two,Sat,4 Jan 1975,5:32pm,00:25:00,10.70m,,53.0,17
80,Planet of the Daleks: Episode Two,Sat,14 Apr 1973,5:53pm,00:24:08,10.70m,,,18
81,Genesis of the Daleks: Part One,Sat,8 Mar 1975,5:30pm,00:24:20,10.70m,,,23
82,The Face of Evil: Part One,Sat,1 Jan 1977,6:22pm,00:24:58,10.70m,,61.0,23
83,The Time Warrior: Part Four,Sat,5 Jan 1974,5:29pm,00:24:57,10.60m,,60.0,22
84,The Masque of Mandragora: Part Four,Sat,25 Sep 1976,6:12pm,00:24:45,10.60m,,56.0,23
85,Journey's End,Sat,5 Jul 2008,6:40pm,01:03:05,10.57m,48.7%,91.0,1
86,Genesis of the Daleks: Part Two,Sat,15 Mar 1975,5:30pm,00:24:51,10.50m,,57.0,15
87,The Space Museum,Sat,24 Apr 1965,5:41pm,00:23:38,10.50m,,61.0,16
88,The Crusade: The Lion,Sat,27 Mar 1965,5:42pm,00:24:56,10.50m,,51.0,16
89,The Sontaran Experiment: Part Two,Sat,1 Mar 1975,5:30pm,00:24:27,10.50m,,55.0,17
90,Death to the Daleks: Part Three,Sat,9 Mar 1974,5:30pm,00:24:24,10.50m,,61.0,20
91,The Hand Of Fear: Part One,Sat,2 Oct 1976,6:11pm,00:24:50,10.50m,,,24
92,Pyramids of Mars: Part One,Sat,25 Oct 1975,5:47pm,00:25:22,10.50m,,,28
93,Planet of Evil: Part One,Sat,27 Sep 1975,5:45pm,00:24:02,10.40m,,56.0,19
94,The Keys of Marinus: The Snows of Terror,Sat,2 May 1964,5:29pm,00:24:54,10.40m,,60.0,20
95,The Edge of Destruction,Sat,8 Feb 1964,5:15pm,00:25:04,10.40m,,61.0,21
96,Marco Polo: Assassin at Peking,Sat,4 Apr 1964,5:30pm,00:24:48,10.40m,,59.0,22
97,The Daleks: The Rescue,Sat,1 Feb 1964,5:17pm,00:22:24,10.40m,,65.0,25
98,The Horns of Nimon: Part Four,Sat,12 Jan 1980,6:06pm,00:26:45,10.40m,,67.0,26
99,Day of the Daleks: Episode Two,Sat,8 Jan 1972,5:53pm,00:23:52,10.40m,,,29
100,The Daleks: The Ordeal,Sat,25 Jan 1964,5:15pm,00:26:14,10.40m,,63.0,29
101,Castrovalva: Part Four,Tue,12 Jan 1982,7:05pm,00:24:12,10.40m,,,46
102,The Waters of Mars,Sun,15 Nov 2009,6:59pm,01:02:05,10.32m,35.3%,88.0,5
103,The Daleks' Master Plan: Devil's Planet,Sat,27 Nov 1965,5:50pm,00:24:30,10.30m,,52.0,29
104,The Seeds of Doom: Part Three,Sat,14 Feb 1976,5:56pm,00:24:51,10.30m,,,32
105,The Invasion of Time: Part Five,Sat,4 Mar 1978,6:26pm,00:25:00,10.30m,,,32
106,Carnival Of Monsters: Episode One,Sat,27 Jan 1973,5:49pm,00:24:46,10.30m,,,36
107,The Curse of Peladon: Episode One,Sat,29 Jan 1972,5:51pm,00:24:32,10.30m,,,36
108,The Talons of Weng-Chiang: Part Three,Sat,12 Mar 1977,6:31pm,00:21:56,10.20m,,,22
109,The Ark In Space: Part Four,Sat,15 Feb 1975,5:31pm,00:24:37,10.20m,,,24
110,The Brain of Morbius: Part Four,Sat,24 Jan 1976,5:55pm,00:24:18,10.20m,,,28
111,The Hand Of Fear: Part Two,Sat,9 Oct 1976,5:50pm,00:24:48,10.20m,,,29
112,The Creature from the Pit: Part Three,Sat,10 Nov 1979,6:02pm,00:23:55,10.20m,,,36
113,Castrovalva: Part Three,Mon,11 Jan 1982,6:55pm,00:23:35,10.20m,,,47
114,Planet of the Spiders: Part One,Sat,4 May 1974,5:47pm,00:24:40,10.10m,,58.0,17
115,The Talons of Weng-Chiang: Part Five,Sat,26 Mar 1977,6:30pm,00:24:49,10.10m,,,18
116,Robot: Part Three,Sat,11 Jan 1975,5:30pm,00:24:29,10.10m,,,22
117,The Brain of Morbius: Part Three,Sat,17 Jan 1976,5:45pm,00:25:07,10.10m,,57.0,23
118,Invasion of the Dinosaurs: Part Two,Sat,19 Jan 1974,5:30pm,00:24:43,10.10m,,,26
119,Planet of Evil: Part Four,Sat,18 Oct 1975,5:46pm,00:23:43,10.10m,,54.0,26
120,Planet of the Daleks: Episode Three,Sat,21 Apr 1973,5:53pm,00:22:34,10.10m,,,29
121,The Androids of Tara: Part Two,Sat,2 Dec 1978,6:21pm,00:24:27,10.10m,,65.0,30
122,The Visitation: Part Four,Tue,23 Feb 1982,7:05pm,00:23:32,10.10m,,,40
123,Black Orchid: Part Two,Tue,2 Mar 1982,7:04pm,00:24:41,10.10m,,,55
124,The Eleventh Hour,Sat,3 Apr 2010,6:21pm,01:02:35,10.08m,39.7%,86.0,3
125,The Chase: The Executioners,Sat,22 May 1965,5:41pm,00:25:25,10.00m,,57.0,14
126,Time-Flight: Part One,Mon,22 Mar 1982,6:57pm,00:24:56,10.00m,,,26
127,The Romans: Conspiracy,Sat,30 Jan 1965,5:39pm,00:26:18,10.00m,,50.0,28
128,Galaxy 4: The Exploding Planet,Sat,2 Oct 1965,5:50pm,00:24:47,9.90m,,53.0,20
129,The Keys of Marinus: The Screaming Jungle,Sat,25 Apr 1964,5:29pm,00:23:45,9.90m,,61.0,22
130,The Keys of Marinus: The Sea of Death,Sat,11 Apr 1964,5:31pm,00:23:20,9.90m,,62.0,22
131,Planet of Evil: Part Two,Sat,4 Oct 1975,5:46pm,00:22:30,9.90m,,,24
132,The Daleks' Master Plan: Counter Plot,Sat,11 Dec 1965,5:51pm,00:24:03,9.90m,,53.0,26
133,The Seeds of Doom: Part Five,Sat,28 Feb 1976,5:47pm,00:25:06,9.90m,,,26
134,The Daleks: The Expedition,Sat,18 Jan 1964,5:15pm,00:24:31,9.90m,,63.0,27
135,Horror of Fang Rock: Part Four,Sat,24 Sep 1977,6:16pm,00:23:12,9.90m,,57.0,28
136,The Daleks: The Ambush,Sat,11 Jan 1964,5:14pm,00:24:37,9.90m,,63.0,29
137,Marco Polo: The Wall of Lies,Sat,14 Mar 1964,5:15pm,00:24:48,9.90m,,60.0,31
138,The Edge of Destruction: The Brink of Disaster,Sat,15 Feb 1964,5:16pm,00:22:11,9.90m,,60.0,31
139,The Power of Kroll: Part Four,Sat,13 Jan 1979,6:27pm,00:21:58,9.90m,,63.0,31
140,The Visitation: Part Three,Mon,22 Feb 1982,6:57pm,00:24:24,9.90m,,,41
141,Black Orchid: Part One,Mon,1 Mar 1982,6:56pm,00:24:56,9.90m,,,57
142,The Snowmen,Tue,25 Dec 2012,5:14pm,00:59:44,9.87m,38.8%,87.0,9
143,The Christmas Invasion,Sun,25 Dec 2005,7:02pm,00:58:55,9.84m,43.5%,84.0,9
144,The Masque of Mandragora: Part Two,Sat,11 Sep 1976,6:07pm,00:24:44,9.80m,,56.0,22
145,Horror of Fang Rock: Part Three,Sat,17 Sep 1977,6:17pm,00:23:12,9.80m,,60.0,23
146,The Talons of Weng-Chiang: Part Two,Sat,5 Mar 1977,6:37pm,00:24:26,9.80m,,,28
147,Genesis of the Daleks: Part Five,Sat,5 Apr 1975,5:30pm,00:23:27,9.80m,,57.0,30
148,The Daleks' Master Plan: Day of Armageddon,Sat,20 Nov 1965,5:50pm,00:24:25,9.80m,,52.0,31
149,Earthshock: Part Three,Mon,15 Mar 1982,6:57pm,00:24:24,9.80m,,,32
150,The Daleks' Master Plan: The Abandoned Planet,Sat,22 Jan 1966,5:50pm,00:24:34,9.80m,,49.0,35
151,The Invasion of Time: Part Six,Sat,11 Mar 1978,6:25pm,00:25:54,9.80m,,,35
152,Day of the Daleks: Episode One,Sat,1 Jan 1972,5:52pm,00:23:36,9.80m,,,36
153,The Horns of Nimon: Part Three,Sat,5 Jan 1980,6:21pm,00:23:26,9.80m,,,40
154,Planet of the Dead,Sat,11 Apr 2009,6:44pm,00:58:55,9.74m,41.7%,88.0,5
155,Planet of the Daleks: Episode Five,Sat,5 May 1973,5:51pm,00:22:31,9.70m,,,21
156,The Sea Devils: Episode Two,Sat,4 Mar 1972,5:52pm,00:24:30,9.70m,,,26
157,The Daleks' Master Plan: Volcano,Sat,1 Jan 1966,5:51pm,00:24:42,9.60m,,49.0,31
158,Nightmare of Eden: Part Two,Sat,1 Dec 1979,6:04pm,00:22:44,9.60m,,,31
159,Nightmare of Eden: Part Three,Sat,8 Dec 1979,6:03pm,00:24:06,9.60m,,,32
160,The Armageddon Factor: Part Six,Sat,24 Feb 1979,6:29pm,00:25:09,9.60m,,66.0,36
161,The Creature from the Pit: Part Four,Sat,17 Nov 1979,6:03pm,00:24:07,9.60m,,,36
162,Earthshock: Part Four,Tue,16 Mar 1982,7:03pm,00:24:28,9.60m,,,40
163,The Three Doctors: Episode One,Sat,30 Dec 1972,5:51pm,00:24:39,9.60m,,,41
164,The Chase: The Planet of Decision,Sat,26 Jun 1965,5:40pm,00:26:29,9.50m,,57.0,7
165,The Chase: Journey into Terror,Sat,12 Jun 1965,5:40pm,00:23:49,9.50m,,54.0,8
166,The Chase: The Death of Time,Sat,29 May 1965,5:40pm,00:23:32,9.50m,,56.0,12
167,Death to the Daleks: Part Four,Sat,16 Mar 1974,5:34pm,00:24:35,9.50m,,62.0,21
168,Galaxy 4: Trap of Steel,Sat,18 Sep 1965,5:50pm,00:24:51,9.50m,,54.0,22
169,Revenge of the Cybermen: Part One,Sat,19 Apr 1975,5:36pm,00:24:19,9.50m,,57.0,24
170,Colony In Space: Episode Three,Sat,24 Apr 1971,6:13pm,00:24:47,9.50m,,,26
171,The Crusade: The Warlords,Sat,17 Apr 1965,5:40pm,00:23:40,9.50m,,49.0,27
172,Death to the Daleks: Part Two,Sat,2 Mar 1974,5:29pm,00:24:25,9.50m,,,30
173,The Brain of Morbius: Part One,Sat,3 Jan 1976,5:56pm,00:25:25,9.50m,,,30
174,The Daleks' Master Plan: The Traitors,Sat,4 Dec 1965,5:50pm,00:24:42,9.50m,,51.0,34
175,The Sun Makers: Part Two,Sat,3 Dec 1977,6:05pm,00:24:57,9.50m,,62.0,36
176,The Daleks' Master Plan: Escape Switch,Sat,15 Jan 1966,5:50pm,00:23:37,9.50m,,50.0,37
177,The Invasion of Time: Part Three,Sat,18 Feb 1978,6:24pm,00:25:00,9.50m,,,47
178,Revenge of the Cybermen: Part Four,Sat,10 May 1975,6:30pm,00:23:21,9.40m,,58.0,22
179,The Keys of Marinus: The Velvet Web,Sat,18 Apr 1964,5:31pm,00:25:37,9.40m,,60.0,25
180,The Ark In Space: Part One,Sat,25 Jan 1975,5:36pm,00:24:58,9.40m,,,27
181,The Celestial Toymaker: The Dancing Floor,Sat,16 Apr 1966,5:49pm,00:24:10,9.40m,,44.0,32
182,Nightmare of Eden: Part Four,Sat,15 Dec 1979,5:56pm,00:24:31,9.40m,,65.0,32
183,Marco Polo: The Singing Sands,Sat,29 Feb 1964,5:15pm,00:26:34,9.40m,,62.0,33
184,Marco Polo: The Roof of the World,Sat,22 Feb 1964,5:15pm,00:24:12,9.40m,,63.0,33
185,Marco Polo: Five Hundred Eyes,Sat,7 Mar 1964,5:16pm,00:22:20,9.40m,,62.0,34
186,Marco Polo: Rider From Shang-Tu,Sat,21 Mar 1964,5:16pm,00:23:26,9.40m,,59.0,37
187,Pyramids of Mars: Part Three,Sat,8 Nov 1975,5:46pm,00:24:32,9.40m,,,37
188,Kinda: Part Two,Tue,2 Feb 1982,7:04pm,00:24:58,9.40m,,,45
189,Four To Doomsday: Part Four,Tue,26 Jan 1982,7:06pm,00:24:53,9.40m,,,53
190,The Runaway Bride,Mon,25 Dec 2006,7:00pm,01:00:00,9.38m,37.9%,84.0,10
191,The Brain of Morbius: Part Two,Sat,10 Jan 1976,5:47pm,00:24:46,9.30m,,,32
192,The Talons of Weng-Chiang: Part Six,Sat,2 Apr 1977,6:30pm,00:23:26,9.30m,,58.0,32
193,The Stones of Blood: Part Three,Sat,11 Nov 1978,6:21pm,00:24:27,9.30m,,,38
194,The Creature from the Pit: Part One,Sat,27 Oct 1979,6:02pm,00:23:32,9.30m,,,43
195,The Ambassadors of Death: Episode 4,Sat,11 Apr 1970,5:44pm,00:24:37,9.30m,,58.0,46
196,The Visitation: Part Two,Tue,16 Feb 1982,7:05pm,00:24:26,9.30m,,,48
197,Tooth and Claw,Sat,22 Apr 2006,7:18pm,00:44:30,9.24m,42.9%,83.0,10
198,Rise of the Cybermen,Sat,13 May 2006,7:23pm,00:46:05,9.22m,43.7%,86.0,6
199,The Green Death: Episode One,Sat,19 May 1973,5:51pm,00:25:55,9.20m,,,18
200,Planet of the Spiders: Part Five,Sat,1 Jun 1974,5:36pm,00:24:01,9.20m,,,19
201,The Space Museum: The Dimensions of Time,Sat,1 May 1965,5:54pm,00:22:00,9.20m,,53.0,23
202,The Monster of Peladon: Part One,Sat,23 Mar 1974,5:30pm,00:24:59,9.20m,,,23
203,The Dæmons: Episode One,Sat,22 May 1971,6:16pm,00:25:05,9.20m,,,26
204,The Masque of Mandragora: Part Three,Sat,18 Sep 1976,6:11pm,00:24:34,9.20m,,,29
205,The Daleks' Master Plan: Golden Death,Sat,8 Jan 1966,5:50pm,00:24:38,9.20m,,52.0,43
206,Deep Breath,Sat,23 Aug 2014,7:52pm,01:16:26,9.17m,37.9%,82.0,2
207,Partners in Crime,Sat,5 Apr 2008,6:19pm,00:48:30,9.14m,41.3%,88.0,10
208,Genesis of the Daleks: Part Six,Sat,12 Apr 1975,5:31pm,00:23:30,9.10m,,56.0,26
209,The Mutants: Episode One,Sat,8 Apr 1972,5:51pm,00:24:25,9.10m,,,29
210,Planet of Evil: Part Three,Sat,11 Oct 1975,6:07pm,00:23:50,9.10m,,57.0,29
211,The Pirate Planet: Part One,Sat,30 Sep 1978,6:22pm,00:25:05,9.10m,,61.0,30
212,Frontier In Space: Episode One,Sat,24 Feb 1973,5:51pm,00:23:27,9.10m,,,32
213,The Daleks' Master Plan: The Nightmare Begins,Sat,13 Nov 1965,5:50pm,00:22:55,9.10m,,54.0,35
214,Underworld: Part Two,Sat,14 Jan 1978,6:26pm,00:21:27,9.10m,,,37
215,Day of the Daleks: Episode Three,Sat,15 Jan 1972,5:50pm,00:24:18,9.10m,,,38
