Unnamed: 0,Episode Title,Date,Date.1,Time,Length,⇩ Rating,Share,AI,Chart
656,The Time Warrior: Part Three,Sat,29 Dec 1973,5:10pm,00:23:30,6.60m,,,89
657,Enlightenment: Part One,Tue,1 Mar 1983,6:55pm,00:24:12,6.60m,,67.0,89
658,The Two Doctors: Part One,Sat,16 Feb 1985,5:22pm,00:44:22,6.60m,,65.0,92
659,The Girl Who Died,Sat,17 Oct 2015,8:23pm,00:45:45,6.56m,28.1%,82.0,18
660,The Magician's Apprentice,Sat,19 Sep 2015,7:43pm,00:46:22,6.54m,26.3%,84.0,13
661,The Poison Sky,Sat,3 May 2008,6:19pm,00:44:40,6.53m,34.3%,88.0,18
662,Journey to the Centre of the TARDIS,Sat,27 Apr 2013,6:29pm,00:44:42,6.52m,30.2%,85.0,21
663,The Gunfighters: A Holiday for the Doctor,Sat,30 Apr 1966,5:50pm,00:23:48,6.50m,,45.0,50
664,The Wheel In Space: Episode 6,Sat,1 Jun 1968,6:06pm,00:23:10,6.50m,,62.0,51
665,The Mind Robber: Episode 2,Sat,21 Sep 1968,5:18pm,00:21:39,6.50m,,49.0,54
666,The Mutants: Episode Six,Sat,13 May 1972,5:52pm,00:23:43,6.50m,,,67
667,The Invasion: Episode Six,Sat,7 Dec 1968,5:15pm,00:23:20,6.50m,,56.0,72
668,The Power of Kroll: Part One,Sat,23 Dec 1978,6:17pm,00:23:16,6.50m,,,85
669,Terminus: Part Three,Tue,22 Feb 1983,6:54pm,00:24:39,6.50m,,64.0,97
670,Mawdryn Undead: Part One,Tue,1 Feb 1983,6:50pm,00:24:03,6.50m,,67.0,103
671,The Hungry Earth,Sat,22 May 2010,6:18pm,00:42:50,6.49m,39.8%,86.0,19
672,The Crimson Horror,Sat,4 May 2013,6:29pm,00:44:40,6.47m,31.5%,85.0,20
673,The Lodger,Sat,12 Jun 2010,6:47pm,00:41:15,6.44m,28.5%,87.0,20
674,It Takes You Away,Sun,2 Dec 2018,6:31pm,00:49:11,6.42m,28.3%,80.0,22
675,The Reign Of Terror: The Tyrant of France,Sat,29 Aug 1964,5:15pm,00:24:46,6.40m,,53.0,36
676,The Reign Of Terror: Prisoners of Conciergerie,Sat,12 Sep 1964,5:29pm,00:25:04,6.40m,,55.0,38
677,The Tomb of the Cybermen: Episode 2,Sat,9 Sep 1967,5:50pm,00:24:44,6.40m,,52.0,57
678,The Tenth Planet: Episode 2,Sat,15 Oct 1966,5:50pm,00:23:15,6.40m,,48.0,57
679,An Unearthly Child: The Firemaker,Sat,14 Dec 1963,5:15pm,00:24:23,6.40m,,55.0,70
680,The Claws of Axos: Episode Three,Sat,27 Mar 1971,5:15pm,00:24:05,6.40m,,,70
681,The Faceless Ones: Episode 2,Sat,15 Apr 1967,5:51pm,00:25:22,6.40m,,50.0,70
682,The Invasion: Episode Four,Sat,23 Nov 1968,5:14pm,00:24:18,6.40m,,51.0,73
683,The Space Pirates: Episode Three,Sat,22 Mar 1969,5:15pm,00:23:50,6.40m,,55.0,75
684,The Sea Devils: Episode One,Sat,26 Feb 1972,5:50pm,00:24:40,6.40m,,,76
685,The Daleks: The Survivors,Sat,28 Dec 1963,5:15pm,00:24:27,6.40m,,58.0,78
686,The Ambassadors of Death: Episode 7,Sat,2 May 1970,5:15pm,00:24:32,6.40m,,62.0,80
687,Revolution of the Daleks,Fri,1 Jan 2021,6:44pm,01:11:00,6.36m,25.1%,79.0,10
688,The Impossible Planet,Sat,3 Jun 2006,7:00pm,00:45:20,6.32m,41.0%,85.0,18
689,The Abominable Snowmen: Episode One,Sat,30 Sep 1967,5:25pm,00:24:15,6.30m,,50.0,57
690,The War Games: Episode Two,Sat,26 Apr 1969,5:14pm,00:25:00,6.30m,,54.0,68
691,The Mark of the Rani: Part One,Sat,2 Feb 1985,5:21pm,00:45:01,6.30m,,64.0,111
692,Silence in the Library,Sat,31 May 2008,7:02pm,00:43:00,6.27m,27.7%,89.0,27
693,The Gunfighters: Johnny Ringo,Sat,14 May 1966,5:55pm,00:23:52,6.20m,,36.0,51
694,The Ark: The Return,Sat,19 Mar 1966,5:15pm,00:24:19,6.20m,,51.0,85
695,Enlightenment: Part Three,Tue,8 Mar 1983,6:54pm,00:24:40,6.20m,,68.0,99
696,Heaven Sent,Sat,28 Nov 2015,8:06pm,00:54:02,6.19m,24.9%,80.0,27
697,Hell Bent,Sat,5 Dec 2015,8:04pm,01:00:25,6.17m,25.7%,82.0,29
698,The Woman Who Lived,Sat,24 Oct 2015,8:21pm,00:45:50,6.11m,24.4%,81.0,25
699,The Evil of the Daleks: Episode 7,Sat,1 Jul 1967,6:24pm,00:24:33,6.10m,,56.0,50
700,The Dominators: Episode 1,Sat,10 Aug 1968,5:15pm,00:24:25,6.10m,,52.0,54
701,The Mind of Evil: Episode One,Sat,30 Jan 1971,5:15pm,00:24:39,6.10m,,,61
702,The Evil of the Daleks: Episode 3,Sat,3 Jun 1967,5:44pm,00:24:27,6.10m,,52.0,61
703,Terror of the Zygons: Part Two,Sat,6 Sep 1975,5:45pm,00:25:08,6.10m,,,61
704,Silver Nemesis: Part One,Wed,23 Nov 1988,7:35pm,00:24:31,6.10m,,71.0,76
705,Logopolis: Part Four,Sat,21 Mar 1981,5:09pm,00:25:10,6.10m,,65.0,97
706,Planet of Fire: Part Two,Fri,24 Feb 1984,6:41pm,00:24:20,6.10m,,,102
707,The Keeper of Traken: Part Four,Sat,21 Feb 1981,5:12pm,00:25:11,6.10m,,63.0,103
708,The Keeper of Traken: Part Two,Sat,7 Feb 1981,5:08pm,00:24:50,6.10m,,,106
709,The Satan Pit,Sat,10 Jun 2006,7:01pm,00:47:10,6.08m,38.0%,86.0,19
710,Spyfall: Part Two,Sun,5 Jan 2020,6:59pm,01:00:30,6.07m,26.2%,82.0,16
711,Face The Raven,Sat,21 Nov 2015,8:10pm,00:46:55,6.06m,23.9%,84.0,30
712,Before The Flood,Sat,10 Oct 2015,8:26pm,00:42:25,6.05m,26.7%,82.0,21
713,The Zygon Inversion,Sat,7 Nov 2015,8:00pm,00:46:20,6.03m,25.1%,84.0,24
714,Inferno: Episode 4,Sat,30 May 1970,5:15pm,00:24:57,6.00m,,60.0,54
715,The Tomb of the Cybermen: Episode 1,Sat,2 Sep 1967,5:49pm,00:23:58,6.00m,,53.0,57
716,The Time Monster: Episode Five,Sat,17 Jun 1972,5:45pm,00:24:29,6.00m,,,67
717,The Abominable Snowmen: Episode Two,Sat,7 Oct 1967,5:25pm,00:23:15,6.00m,,52.0,71
718,The Two Doctors: Part Two,Sat,23 Feb 1985,5:21pm,00:44:49,6.00m,,62.0,90
719,The Massacre: The Sea Beggar,Sat,12 Feb 1966,5:15pm,00:24:43,6.00m,,52.0,96
720,The Horns of Nimon: Part One,Sat,22 Dec 1979,6:11pm,00:25:41,6.00m,,,100
721,Smile,Sat,22 Apr 2017,7:21pm,00:45:35,5.98m,28.5%,83.0,23
722,The Dominators: Episode 2,Sat,17 Aug 1968,5:14pm,00:24:07,5.90m,,55.0,61
723,The Dominators: Episode 5,Sat,7 Sep 1968,5:14pm,00:24:19,5.90m,,53.0,64
724,Inferno: Episode 2,Sat,16 May 1970,5:16pm,00:22:04,5.90m,,61.0,66
725,Fury From the Deep: Episode 5,Sat,13 Apr 1968,5:15pm,00:23:40,5.90m,,56.0,73
726,The Leisure Hive: Part One,Sat,30 Aug 1980,6:14pm,00:23:33,5.90m,,,77
727,An Unearthly Child: The Cave of Skulls,Sat,30 Nov 1963,5:29pm,00:24:37,5.90m,,59.0,85
728,The Massacre: Priest of Death,Sat,19 Feb 1966,5:15pm,00:24:33,5.90m,,49.0,92
729,Full Circle: Part One,Sat,25 Oct 1980,5:40pm,00:24:23,5.90m,,,106
730,Full Circle: Part Three,Sat,8 Nov 1980,5:42pm,00:22:00,5.90m,,,115
731,The Halloween Apocalypse: Flux: Chapter One,Sun,31 Oct 2021,6:26pm,00:49:55,5.81m,26.9%(i),76.0,8
732,Remembrance of the Daleks: Part Two,Wed,12 Oct 1988,7:35pm,00:24:31,5.80m,,69.0,78
733,The Space Pirates: Episode Four,Sat,29 Mar 1969,5:17pm,00:22:25,5.80m,,53.0,83
734,The Massacre: Bell of Doom,Sat,26 Feb 1966,5:15pm,00:25:06,5.80m,,53.0,94
735,The Space Pirates: Episode One,Sat,8 Mar 1969,5:15pm,00:24:11,5.80m,,57.0,96
736,Logopolis: Part Three,Sat,14 Mar 1981,5:11pm,00:24:32,5.80m,,,102
737,The King's Demons: Part One,Tue,15 Mar 1983,6:55pm,00:24:48,5.80m,,65.0,107
738,Frontios: Part Two,Fri,27 Jan 1984,6:41pm,00:24:35,5.80m,,69.0,115
739,State of Decay: Part One,Sat,22 Nov 1980,5:42pm,00:22:24,5.80m,,,119
740,The Pyramid At The End Of The World,Sat,27 May 2017,7:51pm,00:46:04,5.79m,24.9%,82.0,14
741,The Zygon Invasion,Sat,31 Oct 2015,8:17pm,00:46:30,5.76m,24.3%,82.0,24
742,Knock Knock,Sat,6 May 2017,7:21pm,00:44:28,5.73m,27.3%,83.0,21
743,The Witch's Familiar,Sat,26 Sep 2015,7:45pm,00:47:50,5.71m,22.9%,83.0,24
744,The Gunfighters: The O.K. Corral,Sat,21 May 1966,5:51pm,00:23:53,5.70m,,30.0,60
745,The War Games: Episode Four,Sat,10 May 1969,5:15pm,00:23:30,5.70m,,50.0,63
746,Inferno: Episode 1,Sat,9 May 1970,5:15pm,00:23:21,5.70m,,61.0,72
747,Under the Lake,Sat,3 Oct 2015,8:26pm,00:43:20,5.63m,22.0%,84.0,22
748,Sleep No More,Sat,14 Nov 2015,8:14pm,00:45:07,5.61m,22.6%,78.0,28
749,Thin Ice,Sat,29 Apr 2017,7:23pm,00:44:10,5.61m,26.5%,84.0,25
750,The Savages: Episode 2,Sat,4 Jun 1966,5:34pm,00:23:57,5.60m,,49.0,50
751,The Trial Of A Time Lord (The Ultimate Foe): Part Fourteen,Sat,6 Dec 1986,5:45pm,00:29:30,5.60m,,69.0,80
752,Frontios: Part Four,Fri,3 Feb 1984,6:41pm,00:24:26,5.60m,,65.0,112
753,Fugitive of the Judoon,Sun,26 Jan 2020,7:10pm,00:49:40,5.57m,24.5%,83.0,23
754,Extremis,Sat,20 May 2017,7:27pm,00:48:44,5.53m,26.4%,82.0,20
755,The Sensorites: A Race Against Death,Sat,18 Jul 1964,5:14pm,00:24:49,5.50m,,60.0,58
756,The War Machines: Episode 4,Sat,16 Jul 1966,5:16pm,00:23:11,5.50m,,39.0,67
757,The Space Pirates: Episode Five,Sat,5 Apr 1969,5:14pm,00:24:44,5.50m,,56.0,70
758,The Tenth Planet: Episode 1,Sat,8 Oct 1966,5:52pm,00:23:08,5.50m,,50.0,77
759,Remembrance of the Daleks: Part One,Wed,5 Oct 1988,7:34pm,00:24:33,5.50m,,68.0,78
760,Inferno: Episode 7,Sat,20 Jun 1970,5:15pm,00:24:33,5.50m,,60.0,79
761,Dragonfire: Part One,Mon,23 Nov 1987,7:37pm,00:24:01,5.50m,,61.0,80
762,The War Games: Episode One,Sat,19 Apr 1969,5:14pm,00:25:00,5.50m,,55.0,88
763,The Ark: The Steel Sky,Sat,5 Mar 1966,5:15pm,00:24:00,5.50m,,55.0,102
764,Full Circle: Part Four,Sat,15 Nov 1980,5:40pm,00:24:16,5.50m,,65.0,127
765,Inferno: Episode 5,Sat,6 Jun 1970,5:15pm,00:23:42,5.40m,,,54
766,The Dominators: Episode 3,Sat,24 Aug 1968,5:15pm,00:24:06,5.40m,,55.0,65
767,The War Machines: Episode 1,Sat,25 Jun 1966,5:35pm,00:24:01,5.40m,,49.0,71
768,Delta and the Bannermen: Part Three,Mon,16 Nov 1987,7:35pm,00:24:22,5.40m,,60.0,87
769,State of Decay: Part Four,Sat,13 Dec 1980,5:39pm,00:24:54,5.40m,,69.0,125
770,Orphan 55,Sun,12 Jan 2020,7:12pm,00:46:33,5.38m,23.7%,77.0,25
771,The Evil of the Daleks: Episode 4,Sat,10 Jun 1967,5:45pm,00:24:43,5.30m,,51.0,51
772,The War Machines: Episode 3,Sat,9 Jul 1966,5:35pm,00:23:58,5.30m,,44.0,62
773,The Trial Of A Time Lord (Terror of the Vervoids): Part Eleven,Sat,15 Nov 1986,5:46pm,00:24:07,5.30m,,69.0,86
774,The Happiness Patrol: Part Three,Wed,16 Nov 1988,7:35pm,00:24:25,5.30m,,65.0,88
775,Delta and the Bannermen: Part One,Mon,2 Nov 1987,7:34pm,00:24:47,5.30m,,63.0,90
776,The Happiness Patrol: Part One,Wed,2 Nov 1988,7:35pm,00:24:51,5.30m,,67.0,96
777,The Space Pirates: Episode Six,Sat,12 Apr 1969,5:14pm,00:24:26,5.30m,,52.0,98
778,The Greatest Show in the Galaxy: Part Two,Wed,21 Dec 1988,7:35pm,00:24:20,5.30m,,66.0,99
779,State of Decay: Part Two,Sat,29 Nov 1980,5:41pm,00:23:16,5.30m,,,136
780,The Power of the Doctor,Sun,23 Oct 2022,7:33pm,01:27:38,5.30m,27.0%,82.0,5
781,The Doctor Falls,Sat,1 Jul 2017,6:31pm,01:00:27,5.30m,31.3%,83.0,16
782,Oxygen,Sat,13 May 2017,7:14pm,00:44:45,5.27m,26.1%,83.0,26
783,Praxeus,Sun,2 Feb 2020,7:11pm,00:49:52,5.22m,23.5%,78.0,28
784,Nikola Tesla's Night of Terror,Sun,19 Jan 2020,7:11pm,00:50:39,5.20m,22.9%,79.0,28
785,Paradise Towers: Part Two,Mon,12 Oct 1987,7:37pm,00:24:39,5.20m,,58.0,84
786,The Trial Of A Time Lord (Terror of the Vervoids): Part Nine,Sat,1 Nov 1986,5:47pm,00:24:56,5.20m,,66.0,85
787,The Trial Of A Time Lord (Terror of the Vervoids): Part Twelve,Sat,22 Nov 1986,5:45pm,00:24:45,5.20m,,69.0,89
788,Silver Nemesis: Part Two,Wed,30 Nov 1988,7:35pm,00:24:12,5.20m,,70.0,94
789,Silver Nemesis: Part Three,Wed,7 Dec 1988,7:34pm,00:24:36,5.20m,,70.0,98
790,The Keeper of Traken: Part Three,Sat,14 Feb 1981,5:09pm,00:23:49,5.20m,,,112
791,War of The Sontarans: Flux: Chapter Two,Sun,7 Nov 2021,6:16pm,00:59:24,5.13m,,77.0,13
792,The Evil of the Daleks: Episode 5,Sat,17 Jun 1967,5:44pm,00:25:23,5.10m,,53.0,62
793,Time and the Rani: Part One,Mon,7 Sep 1987,7:35pm,00:24:44,5.10m,,58.0,71
794,The War Games: Episode Three,Sat,3 May 1969,5:15pm,00:24:30,5.10m,,53.0,81
795,The War Games: Episode Five,Sat,17 May 1969,5:14pm,00:24:30,5.10m,,53.0,87
796,The Trial Of A Time Lord (Mindwarp): Part Seven,Sat,18 Oct 1986,5:47pm,00:24:33,5.10m,,66.0,87
797,Remembrance of the Daleks: Part Three,Wed,19 Oct 1988,7:34pm,00:24:30,5.10m,,70.0,91
798,Delta and the Bannermen: Part Two,Mon,9 Nov 1987,7:35pm,00:24:23,5.10m,,60.0,93
799,The Haunting Of Villa Diodati,Sun,16 Feb 2020,7:10pm,00:49:41,5.07m,22.9%,80.0,31
800,Empress Of Mars,Sat,10 Jun 2017,7:17pm,00:43:42,5.02m,25.9%,83.0,23
801,The War Games: Episode Ten,Sat,21 Jun 1969,5:14pm,00:24:23,5.00m,,58.0,66
802,The Savages: Episode 3,Sat,11 Jun 1966,5:34pm,00:24:59,5.00m,,48.0,66
803,Paradise Towers: Part Three,Mon,19 Oct 1987,7:36pm,00:24:30,5.00m,,58.0,79
804,The Trial Of A Time Lord (Mindwarp): Part Eight,Sat,25 Oct 1986,5:47pm,00:24:44,5.00m,,72.0,84
805,The Greatest Show in the Galaxy: Part One,Wed,14 Dec 1988,7:34pm,00:24:23,5.00m,,68.0,86
806,Survival: Part One,Wed,22 Nov 1989,7:35pm,00:24:14,5.00m,,69.0,89
807,Survival: Part Three,Wed,6 Dec 1989,7:35pm,00:24:20,5.00m,,71.0,91
808,Paradise Towers: Part Four,Mon,26 Oct 1987,7:35pm,00:24:21,5.00m,,57.0,93
809,Remembrance of the Daleks: Part Four,Wed,26 Oct 1988,7:34pm,00:24:36,5.00m,,72.0,96
810,The Leisure Hive: Part Two,Sat,6 Sep 1980,6:20pm,00:20:45,5.00m,,,103
811,Meglos: Part One,Sat,27 Sep 1980,6:16pm,00:24:43,5.00m,,61.0,105
812,The Leisure Hive: Part Three,Sat,13 Sep 1980,5:57pm,00:21:21,5.00m,,,111
813,World Enough And Time,Sat,24 Jun 2017,6:45pm,00:45:41,5.00m,28.2%,85.0,21
814,Ascension of the Cybermen,Sun,23 Feb 2020,7:10pm,00:49:24,4.99m,22.6%,81.0,25
815,The Trial Of A Time Lord (The Mysterious Planet): Part One,Sat,6 Sep 1986,5:46pm,00:24:57,4.90m,,72.0,69
816,The Trial Of A Time Lord (The Mysterious Planet): Part Two,Sat,13 Sep 1986,5:46pm,00:24:44,4.90m,,69.0,75
817,The Smugglers: Episode 2,Sat,17 Sep 1966,5:54pm,00:24:27,4.90m,,45.0,77
818,The War Games: Episode Seven,Sat,31 May 1969,5:16pm,00:22:28,4.90m,,53.0,83
819,Time and the Rani: Part Four,Mon,28 Sep 1987,7:35pm,00:24:38,4.90m,,59.0,86
820,Can You Hear Me?,Sun,9 Feb 2020,7:10pm,00:49:15,4.90m,21.6%,78.0,35
821,Survivors of the Flux: Flux: Chapter Five,Sun,28 Nov 2021,6:26pm,00:50:34,4.87m,,77.0,22
822,The Lie Of The Land,Sat,3 Jun 2017,7:38pm,00:44:38,4.82m,20.3%,82.0,30
823,The Savages: Episode 1,Sat,28 May 1966,5:36pm,00:23:41,4.80m,,48.0,62
824,The Trial Of A Time Lord (Mindwarp): Part Five,Sat,4 Oct 1986,5:47pm,00:24:42,4.80m,,71.0,76
825,Inferno: Episode 3,Sat,23 May 1970,5:15pm,00:24:34,4.80m,,60.0,85
826,Survival: Part Two,Wed,29 Nov 1989,7:35pm,00:24:13,4.80m,,69.0,96
827,The Greatest Show in the Galaxy: Part Three,Wed,28 Dec 1988,7:39pm,00:24:30,4.80m,,69.0,108
828,The Eaters of Light,Sat,17 Jun 2017,6:45pm,00:42:20,4.73m,30.3%,81.0,26
829,The War Machines: Episode 2,Sat,2 Jul 1966,6:56pm,00:24:00,4.70m,,45.0,76
830,Dragonfire: Part Three,Mon,7 Dec 1987,7:35pm,00:24:26,4.70m,,64.0,94
831,Meglos: Part Four,Sat,18 Oct 1980,5:44pm,00:19:30,4.70m,,63.0,127
832,Meglos: Part Three,Sat,11 Oct 1980,5:42pm,00:21:19,4.70m,,,129
833,"Once, Upon Time: Flux: Chapter Three",Sun,14 Nov 2021,6:30pm,00:49:03,4.70m,,75.0,20
834,The Timeless Children,Sun,1 Mar 2020,6:53pm,01:05:45,4.69m,21.5%,82.0,30
835,The Vanquishers: Flux: Chapter Six,Sun,5 Dec 2021,6:22pm,00:59:16,4.68m,20.7%(i),76.0,22
836,The Trial Of A Time Lord (Mindwarp): Part Six,Sat,11 Oct 1986,5:45pm,00:24:45,4.60m,,69.0,87
837,The Trial Of A Time Lord (Terror of the Vervoids): Part Ten,Sat,8 Nov 1986,5:45pm,00:24:18,4.60m,,69.0,93
838,The Happiness Patrol: Part Two,Wed,9 Nov 1988,7:35pm,00:24:48,4.60m,,65.0,104
839,Village of the Angels: Flux: Chapter Four,Sun,21 Nov 2021,6:19pm,00:56:35,4.57m,,79.0,19
840,Paradise Towers: Part One,Mon,5 Oct 1987,7:34pm,00:24:33,4.50m,,61.0,88
841,The Savages: Episode 4,Sat,18 Jun 1966,5:35pm,00:24:41,4.50m,,48.0,93
842,The Smugglers: Episode 4,Sat,1 Oct 1966,5:51pm,00:23:37,4.50m,,43.0,109
843,The Leisure Hive: Part Four,Sat,20 Sep 1980,6:15pm,00:21:19,4.50m,,65.0,111
844,Eve Of The Daleks,Sat,1 Jan 2022,7:01pm,00:58:15,4.40m,21.2%,77.0,26
845,The Trial Of A Time Lord (The Ultimate Foe): Part Thirteen,Sat,29 Nov 1986,5:19pm,00:24:42,4.40m,,69.0,98
846,An Unearthly Child,Sat,23 Nov 1963,5:16pm,00:23:10,4.40m,,63.0,114
847,State of Decay: Part Three,Sat,6 Dec 1980,5:40pm,00:24:13,4.40m,,,145
848,Time and the Rani: Part Three,Mon,21 Sep 1987,7:35pm,00:24:23,4.30m,,57.0,81
849,The Smugglers: Episode 1,Sat,10 Sep 1966,5:49pm,00:24:36,4.30m,,47.0,96
850,The Curse of Fenric: Part One,Wed,25 Oct 1989,7:34pm,00:24:23,4.30m,,67.0,104
851,Time and the Rani: Part Two,Mon,14 Sep 1987,7:34pm,00:24:36,4.20m,,63.0,85
852,The War Games: Episode Six,Sat,24 May 1969,5:15pm,00:22:53,4.20m,,53.0,91
853,Ghost Light: Part One,Wed,4 Oct 1989,7:34pm,00:24:17,4.20m,,68.0,94
854,The Smugglers: Episode 3,Sat,24 Sep 1966,5:49pm,00:23:55,4.20m,,43.0,96
855,The Curse of Fenric: Part Four,Wed,15 Nov 1989,7:34pm,00:24:16,4.20m,,68.0,104
856,Meglos: Part Two,Sat,4 Oct 1980,6:17pm,00:21:24,4.20m,,64.0,139
857,The War Games: Episode Nine,Sat,14 Jun 1969,5:14pm,00:24:34,4.10m,,57.0,91
858,Battlefield: Part Four,Wed,27 Sep 1989,7:34pm,00:24:14,4.00m,,65.0,89
859,Ghost Light: Part Two,Wed,11 Oct 1989,7:34pm,00:24:18,4.00m,,68.0,93
860,Dragonfire: Part Two,Mon,30 Nov 1987,7:35pm,00:24:40,4.00m,,61.0,96
861,Ghost Light: Part Three,Wed,18 Oct 1989,7:35pm,00:24:17,4.00m,,64.0,104
862,The Curse of Fenric: Part Two,Wed,1 Nov 1989,7:34pm,00:24:09,4.00m,,68.0,104
863,The Curse of Fenric: Part Three,Wed,8 Nov 1989,7:34pm,00:24:11,4.00m,,68.0,104
864,Battlefield: Part Two,Wed,13 Sep 1989,7:34pm,00:24:07,3.90m,,68.0,91
865,The Trial Of A Time Lord (The Mysterious Planet): Part Three,Sat,20 Sep 1986,5:47pm,00:24:18,3.90m,,70.0,98
866,The Trial Of A Time Lord (The Mysterious Planet): Part Four,Sat,27 Sep 1986,5:46pm,00:24:20,3.70m,,72.0,97
867,Full Circle: Part Two,Sat,1 Nov 1980,5:42pm,00:22:11,3.70m,,,170
868,Battlefield: Part Three,Wed,20 Sep 1989,7:35pm,00:24:13,3.60m,,67.0,95
869,The War Games: Episode Eight,Sat,7 Jun 1969,5:14pm,00:24:37,3.50m,,53.0,96
870,Legend Of The Sea Devils,Sun,17 Apr 2022,7:10pm,00:47:38,3.47m,20.6%,76.0,25
871,Battlefield: Part One,Wed,6 Sep 1989,7:35pm,00:24:06,3.10m,,69.0,102
