Episode Title,Weekday,Length,Share,AI,Chart,Broadcast datetime,viewers_in_millions
An Unearthly Child,Sat,00:23:10,,63.0,114,1963-11-23 17:16:00,4.4
An Unearthly Child: The Cave of Skulls,Sat,00:24:37,,59.0,85,1963-11-30 17:29:00,5.9
An Unearthly Child: The Forest of Fear,Sat,00:23:38,,56.0,61,1963-12-07 17:15:00,6.9
An Unearthly Child: The Firemaker,Sat,00:24:23,,55.0,70,1963-12-14 17:15:00,6.4
The Daleks: The Dead Planet,Sat,00:24:22,,59.0,67,1963-12-21 17:15:00,6.9
The Daleks: The Survivors,Sat,00:24:27,,58.0,78,1963-12-28 17:15:00,6.4
The Daleks: The Escape,Sat,00:25:10,,62.0,45,1964-01-04 17:15:00,8.9
The Daleks: The Ambush,Sat,00:24:37,,63.0,29,1964-01-11 17:14:00,9.9
The Daleks: The Expedition,Sat,00:24:31,,63.0,27,1964-01-18 17:15:00,9.9
The Daleks: The Ordeal,Sat,00:26:14,,63.0,29,1964-01-25 17:15:00,10.4
The Daleks: The Rescue,Sat,00:22:24,,65.0,25,1964-02-01 17:17:00,10.4
The Edge of Destruction,Sat,00:25:04,,61.0,21,1964-02-08 17:15:00,10.4
The Edge of Destruction: The Brink of Disaster,Sat,00:22:11,,60.0,31,1964-02-15 17:16:00,9.9
Marco Polo: The Roof of the World,Sat,00:24:12,,63.0,33,1964-02-22 17:15:00,9.4
Marco Polo: The Singing Sands,Sat,00:26:34,,62.0,33,1964-02-29 17:15:00,9.4
Marco Polo: Five Hundred Eyes,Sat,00:22:20,,62.0,34,1964-03-07 17:16:00,9.4
Marco Polo: The Wall of Lies,Sat,00:24:48,,60.0,31,1964-03-14 17:15:00,9.9
Marco Polo: Rider From Shang-Tu,Sat,00:23:26,,59.0,37,1964-03-21 17:16:00,9.4
Marco Polo: Mighty Kublai Khan,Sat,00:25:36,,59.0,49,1964-03-28 17:29:00,8.4
Marco Polo: Assassin at Peking,Sat,00:24:48,,59.0,22,1964-04-04 17:30:00,10.4
The Keys of Marinus: The Sea of Death,Sat,00:23:20,,62.0,22,1964-04-11 17:31:00,9.9
The Keys of Marinus: The Velvet Web,Sat,00:25:37,,60.0,25,1964-04-18 17:31:00,9.4
The Keys of Marinus: The Screaming Jungle,Sat,00:23:45,,61.0,22,1964-04-25 17:29:00,9.9
The Keys of Marinus: The Snows of Terror,Sat,00:24:54,,60.0,20,1964-05-02 17:29:00,10.4
The Keys of Marinus: Sentence of Death,Sat,00:25:03,,61.0,29,1964-05-09 17:14:00,7.9
The Keys of Marinus,Sat,00:25:11,,63.0,43,1964-05-16 17:17:00,6.9
The Aztecs: The Temple of Evil,Sat,00:23:56,,62.0,25,1964-05-23 17:16:00,7.4
The Aztecs: The Warriors of Death,Sat,00:24:11,,62.0,34,1964-05-30 17:16:00,7.4
The Aztecs: The Bride of Sacrifice,Sat,00:25:27,,57.0,19,1964-06-06 17:14:00,7.9
The Aztecs: The Day of Darkness,Sat,00:25:30,,58.0,34,1964-06-13 17:14:00,7.4
The Sensorites: Strangers in Space,Sat,00:24:46,,59.0,17,1964-06-20 17:14:00,7.9
The Sensorites: The Unwilling Warriors,Sat,00:24:44,,59.0,39,1964-06-27 17:40:00,6.9
The Sensorites: Hidden Danger,Sat,00:24:53,,56.0,22,1964-07-11 17:15:00,7.4
The Sensorites: A Race Against Death,Sat,00:24:49,,60.0,58,1964-07-18 17:14:00,5.5
The Sensorites: Kidnap,Sat,00:24:17,,57.0,29,1964-07-25 17:15:00,6.9
The Sensorites: A Desperate Venture,Sat,00:24:29,,57.0,39,1964-08-01 17:14:00,6.9
The Reign Of Terror: A Land of Fear,Sat,00:24:24,,58.0,37,1964-08-08 17:15:00,6.9
The Reign Of Terror: Guests of Madame Guillotine,Sat,00:24:04,,54.0,35,1964-08-15 17:14:00,6.9
The Reign Of Terror: A Change of Identity,Sat,00:25:23,,55.0,34,1964-08-22 17:29:00,6.9
The Reign Of Terror: The Tyrant of France,Sat,00:24:46,,53.0,36,1964-08-29 17:15:00,6.4
The Reign Of Terror: A Bargain of Necessity,Sat,00:23:51,,53.0,39,1964-09-05 17:31:00,6.9
The Reign Of Terror: Prisoners of Conciergerie,Sat,00:25:04,,55.0,38,1964-09-12 17:29:00,6.4
Planet of Giants,Sat,00:23:15,,57.0,37,1964-10-31 17:13:00,8.4
Planet of Giants: Dangerous Journey,Sat,00:23:40,,58.0,45,1964-11-07 17:15:00,8.4
Planet of Giants: Crisis,Sat,00:26:35,,59.0,33,1964-11-14 17:15:00,8.9
The Dalek Invasion of Earth: World's End,Sat,00:23:42,,63.0,12,1964-11-21 17:40:00,11.4
The Dalek Invasion of Earth: The Daleks,Sat,00:24:19,,59.0,10,1964-11-28 17:41:00,12.4
The Dalek Invasion of Earth: Day of Reckoning,Sat,00:26:50,,59.0,10,1964-12-05 17:39:00,11.9
The Dalek Invasion of Earth: The End of Tomorrow,Sat,00:23:23,,59.0,11,1964-12-12 17:40:00,11.9
The Dalek Invasion of Earth: The Waking Ally,Sat,00:24:29,,58.0,18,1964-12-19 17:40:00,11.4
The Dalek Invasion of Earth: Flashpoint,Sat,00:25:21,,60.0,12,1964-12-26 17:58:00,12.4
The Rescue: The Powerful Enemy,Sat,00:26:15,,57.0,11,1965-01-02 17:40:00,12.0
The Rescue: Desperate Measures,Sat,00:24:36,,59.0,8,1965-01-09 17:41:00,13.0
The Romans: The Slave Traders,Sat,00:24:14,,53.0,7,1965-01-16 17:40:00,13.0
The Romans: All Roads Lead to Rome,Sat,00:23:14,,51.0,15,1965-01-23 17:40:00,11.5
The Romans: Conspiracy,Sat,00:26:18,,50.0,28,1965-01-30 17:39:00,10.0
The Romans: Inferno,Sat,00:23:09,,50.0,13,1965-02-06 17:40:00,12.0
The Web Planet,Sat,00:23:57,,56.0,7,1965-02-13 17:40:00,13.5
The Web Planet: The Zarbi,Sat,00:23:20,,53.0,12,1965-02-20 17:40:00,12.5
The Web Planet: Escape to Danger,Sat,00:22:52,,53.0,11,1965-02-27 17:40:00,12.5
The Web Planet: Crater of Needles,Sat,00:25:50,,49.0,9,1965-03-06 17:39:00,13.0
The Web Planet: Invasion,Sat,00:26:04,,48.0,12,1965-03-13 17:40:00,12.0
The Web Planet: The Centre,Sat,00:24:32,,42.0,14,1965-03-20 17:55:00,11.5
The Crusade: The Lion,Sat,00:24:56,,51.0,16,1965-03-27 17:42:00,10.5
The Crusade: The Knight of Jaffa,Sat,00:23:28,,50.0,29,1965-04-03 17:42:00,8.5
The Crusade: The Wheel of Fortune,Sat,00:24:51,,49.0,32,1965-04-10 17:41:00,9.0
The Crusade: The Warlords,Sat,00:23:40,,49.0,27,1965-04-17 17:40:00,9.5
The Space Museum,Sat,00:23:38,,61.0,16,1965-04-24 17:41:00,10.5
The Space Museum: The Dimensions of Time,Sat,00:22:00,,53.0,23,1965-05-01 17:54:00,9.2
The Space Museum: The Search,Sat,00:23:33,,56.0,22,1965-05-08 18:00:00,8.5
The Space Museum: The Final Phase,Sat,00:22:15,,49.0,27,1965-05-15 17:40:00,8.5
The Chase: The Executioners,Sat,00:25:25,,57.0,14,1965-05-22 17:41:00,10.0
The Chase: The Death of Time,Sat,00:23:32,,56.0,12,1965-05-29 17:40:00,9.5
The Chase: Flight Through Eternity,Sat,00:25:32,,55.0,12,1965-06-05 17:46:00,9.0
The Chase: Journey into Terror,Sat,00:23:49,,54.0,8,1965-06-12 17:40:00,9.5
The Chase: The Death of Doctor Who,Sat,00:23:27,,56.0,11,1965-06-19 17:41:00,9.0
The Chase: The Planet of Decision,Sat,00:26:29,,57.0,7,1965-06-26 17:40:00,9.5
The Time Meddler: The Watcher,Sat,00:24:05,,57.0,15,1965-07-03 18:54:00,8.9
The Time Meddler: The Meddling Monk,Sat,00:25:17,,49.0,19,1965-07-10 17:39:00,8.8
The Time Meddler: A Battle of Wits,Sat,00:24:10,,53.0,28,1965-07-17 17:40:00,7.7
The Time Meddler: Checkmate,Sat,00:24:00,,54.0,24,1965-07-24 17:40:00,8.3
Galaxy 4: Four Hundred Dawns,Sat,00:22:21,,56.0,23,1965-09-11 17:41:00,9.0
Galaxy 4: Trap of Steel,Sat,00:24:51,,54.0,22,1965-09-18 17:50:00,9.5
Galaxy 4: Air Lock,Sat,00:24:19,,54.0,13,1965-09-25 17:52:00,11.3
Galaxy 4: The Exploding Planet,Sat,00:24:47,,53.0,20,1965-10-02 17:50:00,9.9
Mission to the Unknown,Sat,00:24:42,,54.0,37,1965-10-09 17:50:00,8.3
The Myth Makers: Temple of Secrets,Sat,00:24:45,,48.0,34,1965-10-16 17:50:00,8.3
"The Myth Makers: Small Prophet, Quick Return",Sat,00:24:43,,51.0,40,1965-10-23 17:49:00,8.1
The Myth Makers: Death of a Spy,Sat,00:25:39,,49.0,33,1965-10-30 17:49:00,8.7
The Myth Makers: Horse of Destruction,Sat,00:24:25,,52.0,38,1965-11-06 17:50:00,8.3
The Daleks' Master Plan: The Nightmare Begins,Sat,00:22:55,,54.0,35,1965-11-13 17:50:00,9.1
The Daleks' Master Plan: Day of Armageddon,Sat,00:24:25,,52.0,31,1965-11-20 17:50:00,9.8
The Daleks' Master Plan: Devil's Planet,Sat,00:24:30,,52.0,29,1965-11-27 17:50:00,10.3
The Daleks' Master Plan: The Traitors,Sat,00:24:42,,51.0,34,1965-12-04 17:50:00,9.5
The Daleks' Master Plan: Counter Plot,Sat,00:24:03,,53.0,26,1965-12-11 17:51:00,9.9
The Daleks' Master Plan: Coronas of the Sun,Sat,00:24:45,,56.0,40,1965-12-18 17:48:00,9.1
The Daleks' Master Plan: The Feast of Steven,Sat,00:24:36,,39.0,71,1965-12-25 18:35:00,7.9
The Daleks' Master Plan: Volcano,Sat,00:24:42,,49.0,31,1966-01-01 17:51:00,9.6
The Daleks' Master Plan: Golden Death,Sat,00:24:38,,52.0,43,1966-01-08 17:50:00,9.2
The Daleks' Master Plan: Escape Switch,Sat,00:23:37,,50.0,37,1966-01-15 17:50:00,9.5
The Daleks' Master Plan: The Abandoned Planet,Sat,00:24:34,,49.0,35,1966-01-22 17:50:00,9.8
The Daleks' Master Plan: The Destruction of Time,Sat,00:23:31,,57.0,39,1966-01-29 17:50:00,8.6
The Massacre: War of God,Sat,00:24:51,,52.0,45,1966-02-05 17:15:00,8.0
The Massacre: The Sea Beggar,Sat,00:24:43,,52.0,96,1966-02-12 17:15:00,6.0
The Massacre: Priest of Death,Sat,00:24:33,,49.0,92,1966-02-19 17:15:00,5.9
The Massacre: Bell of Doom,Sat,00:25:06,,53.0,94,1966-02-26 17:15:00,5.8
The Ark: The Steel Sky,Sat,00:24:00,,55.0,102,1966-03-05 17:15:00,5.5
The Ark: The Plague,Sat,00:25:00,,56.0,70,1966-03-12 17:15:00,6.9
The Ark: The Return,Sat,00:24:19,,51.0,85,1966-03-19 17:15:00,6.2
The Ark: The Bomb,Sat,00:24:37,,50.0,71,1966-03-26 17:15:00,7.3
The Celestial Toymaker: The Celestial Toyroom,Sat,00:24:40,,48.0,44,1966-04-02 17:50:00,8.0
The Celestial Toymaker: The Hall of Dolls,Sat,00:24:45,,49.0,49,1966-04-09 17:50:00,8.0
The Celestial Toymaker: The Dancing Floor,Sat,00:24:10,,44.0,32,1966-04-16 17:49:00,9.4
The Celestial Toymaker: The Final Test,Sat,00:23:57,,43.0,36,1966-04-23 17:50:00,7.8
The Gunfighters: A Holiday for the Doctor,Sat,00:23:48,,45.0,50,1966-04-30 17:50:00,6.5
The Gunfighters: Don't Shoot the Pianist,Sat,00:23:47,,39.0,45,1966-05-07 17:49:00,6.6
The Gunfighters: Johnny Ringo,Sat,00:23:52,,36.0,51,1966-05-14 17:55:00,6.2
The Gunfighters: The O.K. Corral,Sat,00:23:53,,30.0,60,1966-05-21 17:51:00,5.7
The Savages: Episode 1,Sat,00:23:41,,48.0,62,1966-05-28 17:36:00,4.8
The Savages: Episode 2,Sat,00:23:57,,49.0,50,1966-06-04 17:34:00,5.6
The Savages: Episode 3,Sat,00:24:59,,48.0,66,1966-06-11 17:34:00,5.0
The Savages: Episode 4,Sat,00:24:41,,48.0,93,1966-06-18 17:35:00,4.5
The War Machines: Episode 1,Sat,00:24:01,,49.0,71,1966-06-25 17:35:00,5.4
The War Machines: Episode 2,Sat,00:24:00,,45.0,76,1966-07-02 18:56:00,4.7
The War Machines: Episode 3,Sat,00:23:58,,44.0,62,1966-07-09 17:35:00,5.3
The War Machines: Episode 4,Sat,00:23:11,,39.0,67,1966-07-16 17:16:00,5.5
The Smugglers: Episode 1,Sat,00:24:36,,47.0,96,1966-09-10 17:49:00,4.3
The Smugglers: Episode 2,Sat,00:24:27,,45.0,77,1966-09-17 17:54:00,4.9
The Smugglers: Episode 3,Sat,00:23:55,,43.0,96,1966-09-24 17:49:00,4.2
The Smugglers: Episode 4,Sat,00:23:37,,43.0,109,1966-10-01 17:51:00,4.5
The Tenth Planet: Episode 1,Sat,00:23:08,,50.0,77,1966-10-08 17:52:00,5.5
The Tenth Planet: Episode 2,Sat,00:23:15,,48.0,57,1966-10-15 17:50:00,6.4
The Tenth Planet: Episode 3,Sat,00:23:31,,48.0,46,1966-10-22 17:54:00,7.6
The Tenth Planet: Episode 4,Sat,00:24:02,,47.0,48,1966-10-29 17:50:00,7.5
The Power of the Daleks: Episode One,Sat,00:25:43,,43.0,44,1966-11-05 17:49:00,7.9
The Power of the Daleks: Episode Two,Sat,00:24:29,,45.0,50,1966-11-12 17:49:00,7.8
The Power of the Daleks: Episode Three,Sat,00:23:31,,44.0,52,1966-11-19 17:51:00,7.5
The Power of the Daleks: Episode Four,Sat,00:24:23,,47.0,50,1966-11-26 17:49:00,7.8
The Power of the Daleks: Episode Five,Sat,00:23:38,,48.0,48,1966-12-03 17:51:00,8.0
The Power of the Daleks: Episode Six,Sat,00:23:46,,47.0,37,1966-12-10 17:51:00,7.8
The Highlanders: Episode 1,Sat,00:24:38,,47.0,67,1966-12-17 17:48:00,6.7
The Highlanders: Episode 2,Sat,00:23:41,,46.0,89,1966-12-24 17:50:00,6.8
The Highlanders: Episode 3,Sat,00:22:54,,46.0,68,1966-12-31 17:52:00,7.4
The Highlanders: Episode 4,Sat,00:24:19,,47.0,66,1967-01-07 17:50:00,7.3
The Underwater Menace: Episode 1,Sat,00:24:18,,48.0,43,1967-01-14 17:49:00,8.3
The Underwater Menace: Episode 2,Sat,00:25:00,,46.0,64,1967-01-21 17:51:00,7.5
The Underwater Menace: Episode 3,Sat,00:24:09,,45.0,59,1967-01-28 17:51:00,7.1
The Underwater Menace: Episode 4,Sat,00:23:20,,47.0,65,1967-02-04 17:50:00,7.0
The Moonbase: Episode 1,Sat,00:24:12,,50.0,56,1967-02-11 17:50:00,8.1
The Moonbase: Episode 2,Sat,00:24:42,,49.0,36,1967-02-18 17:51:00,8.9
The Moonbase: Episode 3,Sat,00:26:11,,53.0,49,1967-02-25 17:50:00,8.2
The Moonbase: Episode 4,Sat,00:23:28,,58.0,44,1967-03-04 17:51:00,8.1
The Macra Terror: Episode 1,Sat,00:22:58,,50.0,37,1967-03-11 17:51:00,8.0
The Macra Terror: Episode 2,Sat,00:23:21,,48.0,42,1967-03-18 17:51:00,7.9
The Macra Terror: Episode 3,Sat,00:23:24,,52.0,45,1967-03-25 17:51:00,8.5
The Macra Terror: Episode 4,Sat,00:24:41,,49.0,39,1967-04-01 17:50:00,8.4
The Faceless Ones: Episode 1,Sat,00:23:47,,51.0,47,1967-04-08 17:50:00,8.0
The Faceless Ones: Episode 2,Sat,00:25:22,,50.0,70,1967-04-15 17:51:00,6.4
The Faceless Ones: Episode 3,Sat,00:23:10,,53.0,43,1967-04-22 17:50:00,7.9
The Faceless Ones: Episode 4,Sat,00:24:28,,55.0,62,1967-04-29 17:50:00,6.9
The Faceless Ones: Episode 5,Sat,00:23:34,,55.0,39,1967-05-06 17:52:00,7.1
The Faceless Ones: Episode 6,Sat,00:23:38,,52.0,33,1967-05-13 17:50:00,8.0
The Evil of the Daleks: Episode 1,Sat,00:24:07,,51.0,37,1967-05-20 18:00:00,8.1
The Evil of the Daleks: Episode 2,Sat,00:25:13,,51.0,37,1967-05-27 17:50:00,7.5
The Evil of the Daleks: Episode 3,Sat,00:24:27,,52.0,61,1967-06-03 17:44:00,6.1
The Evil of the Daleks: Episode 4,Sat,00:24:43,,51.0,51,1967-06-10 17:45:00,5.3
The Evil of the Daleks: Episode 5,Sat,00:25:23,,53.0,62,1967-06-17 17:44:00,5.1
The Evil of the Daleks: Episode 6,Sat,00:24:48,,49.0,38,1967-06-24 17:45:00,6.8
The Evil of the Daleks: Episode 7,Sat,00:24:33,,56.0,50,1967-07-01 18:24:00,6.1
The Tomb of the Cybermen: Episode 1,Sat,00:23:58,,53.0,57,1967-09-02 17:49:00,6.0
The Tomb of the Cybermen: Episode 2,Sat,00:24:44,,52.0,57,1967-09-09 17:50:00,6.4
The Tomb of the Cybermen: Episode 3,Sat,00:24:14,,49.0,38,1967-09-16 17:50:00,7.2
The Tomb of the Cybermen: Episode 4,Sat,00:23:22,,50.0,34,1967-09-23 17:50:00,7.4
The Abominable Snowmen: Episode One,Sat,00:24:15,,50.0,57,1967-09-30 17:25:00,6.3
The Abominable Snowmen: Episode Two,Sat,00:23:15,,52.0,71,1967-10-07 17:25:00,6.0
The Abominable Snowmen: Episode Three,Sat,00:23:55,,51.0,51,1967-10-14 17:25:00,7.1
The Abominable Snowmen: Episode Four,Sat,00:24:11,,50.0,60,1967-10-21 17:24:00,7.1
The Abominable Snowmen: Episode Five,Sat,00:23:51,,51.0,61,1967-10-28 17:24:00,7.2
The Abominable Snowmen: Episode Six,Sat,00:23:51,,52.0,56,1967-11-04 17:25:00,7.4
The Ice Warriors: One,Sat,00:24:21,,52.0,68,1967-11-11 17:10:00,6.7
The Ice Warriors: Two,Sat,00:24:16,,52.0,71,1967-11-18 17:24:00,7.1
The Ice Warriors: Three,Sat,00:23:58,,51.0,64,1967-11-25 17:25:00,7.4
The Ice Warriors: Four,Sat,00:24:23,,51.0,63,1967-12-02 17:25:00,7.3
The Ice Warriors: Five,Sat,00:24:25,,50.0,44,1967-12-09 17:24:00,8.0
The Ice Warriors: Six,Sat,00:23:58,,51.0,59,1967-12-16 17:24:00,7.5
The Enemy of the World: Episode 1,Sat,00:23:45,,50.0,89,1967-12-23 17:25:00,6.8
The Enemy of the World: Episode 2,Sat,00:23:48,,49.0,75,1967-12-30 17:26:00,7.6
The Enemy of the World: Episode 3,Sat,00:23:05,,48.0,79,1968-01-06 17:25:00,7.1
The Enemy of the World: Episode 4,Sat,00:23:46,,49.0,66,1968-01-13 17:25:00,7.8
The Enemy of the World: Episode 5,Sat,00:24:22,,49.0,73,1968-01-20 17:24:00,6.9
The Enemy of the World: Episode 6,Sat,00:21:41,,52.0,55,1968-01-27 17:26:00,8.3
The Web of Fear: Episode 1,Sat,00:24:53,,54.0,82,1968-02-03 17:24:00,7.2
The Web of Fear: Episode 2,Sat,00:24:38,,53.0,80,1968-02-10 17:14:00,6.8
The Web of Fear: Episode 3,Sat,00:24:34,,51.0,71,1968-02-17 17:25:00,7.0
The Web of Fear: Episode 4,Sat,00:24:50,,53.0,52,1968-02-24 17:24:00,8.4
The Web of Fear: Episode 5,Sat,00:24:19,,55.0,48,1968-03-02 17:24:00,8.0
The Web of Fear: Episode 6,Sat,00:24:41,,55.0,36,1968-03-09 17:24:00,8.3
Fury From the Deep: Episode 1,Sat,00:24:54,,55.0,46,1968-03-16 17:14:00,8.2
Fury From the Deep: Episode 2,Sat,00:23:08,,55.0,40,1968-03-23 17:15:00,7.9
Fury From the Deep: Episode 3,Sat,00:20:29,,56.0,47,1968-03-30 17:16:00,7.7
Fury From the Deep: Episode 4,Sat,00:24:17,,56.0,62,1968-04-06 17:15:00,6.6
Fury From the Deep: Episode 5,Sat,00:23:40,,56.0,73,1968-04-13 17:15:00,5.9
Fury From the Deep: Episode 6,Sat,00:24:24,,57.0,42,1968-04-20 17:15:00,6.9
The Wheel In Space: Episode 1,Sat,00:23:47,,57.0,40,1968-04-27 17:15:00,7.2
The Wheel In Space: Episode 2,Sat,00:22:50,,60.0,59,1968-05-04 17:16:00,6.9
The Wheel In Space: Episode 3,Sat,00:24:25,,55.0,40,1968-05-11 17:15:00,7.5
