Manchester United,"£ 4,592","£ 238,780","£ 238,780","£ 28,600","£ 60,480","£ 36,920","£ 112,780"
Chelsea,"£ 3,603","£ 187,340","£ 187,340","£ 12,480","£ 51,220","£ 51,100","£ 72,540"
Manchester City,"£ 3,242","£ 168,572","£ 168,572","£ 8,892","£ 60,320","£ 24,500","£ 74,860"
Liverpool,"£ 2,861","£ 148,772","£ 148,772","£ 14,560","£ 46,540","£ 47,320","£ 40,352"
Arsenal,"£ 2,271","£ 118,074","£ 118,074","£ 8,400","£ 37,024","£ 27,300","£ 45,350"
Tottenham,"£ 2,123","£ 110,416","£ 110,416","£ 6,760","£ 29,516","£ 30,680","£ 43,460"
Everton,"£ 2,119","£ 110,202","£ 110,202","£ 8,060","£ 31,512","£ 31,320","£ 39,310"
Aston Villa,"£ 1,641","£ 85,330","£ 85,330","£ 8,320","£ 26,160","£ 14,380","£ 36,470"
Leicester,"£ 1,569","£ 81,590","£ 81,590","£ 10,040","£ 28,040","£ 18,070","£ 25,440"
West Ham,"£ 1,499","£ 77,936","£ 77,936","£ 11,856","£ 28,860","£ 10,180","£ 27,040"
Newcastle,"£ 1,410","£ 73,308","£ 73,308","£ 4,940","£ 27,276","£ 17,052","£ 24,040"
Crystal Palace,"£ 1,383","£ 71,910","£ 71,910","£ 6,000","£ 20,930","£ 18,980","£ 26,000"
Wolverhampton,"£ 1,207","£ 62,756","£ 62,756","£ 2,120","£ 20,736","£ 13,080","£ 26,820"
Southampton,"£ 1,128","£ 58,657","£ 58,657","£ 9,270","£ 12,137","£ 15,720","£ 21,530"
Brighton,£ 958,"£ 49,820","£ 49,820","£ 3,120","£ 17,640","£ 12,270","£ 16,790"
Watford,£ 808,"£ 42,030","£ 42,030","£ 2,580","£ 14,880","£ 15,290","£ 9,280"
Burnley,£ 785,"£ 40,830","£ 40,830","£ 2,900","£ 14,940","£ 7,880","£ 15,110"
Leeds,£ 718,"£ 37,354","£ 37,354","£ 2,080","£ 13,150","£ 3,980","£ 18,144"
Norwich,£ 611,"£ 31,750","£ 31,750","£ 3,480","£ 14,760","£ 7,230","£ 6,280"
Brentford,£ 550,"£ 28,606","£ 28,606","£ 2,080","£ 8,686","£ 8,220","£ 9,620"
TOTAL,"£ 35,078","£ 1,824,033","£ 1,824,033","£ 156,538","£ 564,807","£ 411,472","£ 691,216"