name,gender,age,class,embarked,country,fare,survived
"Abbing, Mr. Anthony",male,42.0,3rd,Southampton,United States,7.11,no
"Abbott, Mr. Eugene Joseph",male,13.0,3rd,Southampton,United States,20.05,no
"Abbott, Mr. Rossmore Edward",male,16.0,3rd,Southampton,United States,20.05,no
"Abbott, Mrs. Rhoda Mary 'Rosa'",female,39.0,3rd,Southampton,England,20.05,yes
"Abelseth, Miss. Karen Marie",female,16.0,3rd,Southampton,Norway,7.13,yes
"Abelseth, Mr. Olaus Jørgensen",male,25.0,3rd,Southampton,United States,7.13,yes
"Abelson, Mr. Samuel",male,30.0,2nd,Cherbourg,France,24.0,no
"Abelson, Mrs. Hannah",female,28.0,2nd,Cherbourg,France,24.0,yes
"Abī-Al-Munà, Mr. Nāsīf Qāsim",male,27.0,3rd,Cherbourg,Lebanon,18.1509,yes
"Abrahamsson, Mr. Abraham August Johannes",male,20.0,3rd,Southampton,Finland,7.1806,yes
"Ådahl, Mr. Mauritz",male,30.0,3rd,Southampton,Sweden,7.05,no
"Adams, Mr. John",male,27.0,3rd,Southampton,England,8.01,no
"Ahlin, Mrs. Johanna Persdotter",female,40.0,3rd,Southampton,Sweden,9.0906,no
"Aks, Master. Frank Philip",male,0.8333333333,3rd,Southampton,England,9.07,yes
"Aks, Mrs. Leah",female,18.0,3rd,Southampton,England,9.07,yes
"Aldworth, Mr. Augustus Henry",male,35.0,2nd,Southampton,England,13.0,no
"Alexander, Mr. William Albert",male,25.0,3rd,Southampton,England,7.1709,no
"Alhomäki, Mr. Ilmari Rudolf",male,19.0,3rd,Southampton,Finland,7.1806,no
"Ali, Mr. Ahmed",male,24.0,3rd,Southampton,Argentina,7.01,no
"Ali, Mr. William",male,25.0,3rd,Southampton,Argentina,7.01,no
"Allen, Miss. Elisabeth Walton",female,29.0,1st,Southampton,United States,211.6009,yes
"Allen, Mr. William Henry",male,39.0,3rd,Southampton,England,8.01,no
"Allison, Master. Hudson Trevor",male,0.9166666667,1st,Southampton,Canada,151.16,yes
"Allison, Miss. Helen Loraine",female,2.0,1st,Southampton,Canada,151.16,no
"Allison, Mr. Hudson Joshua Creighton",male,30.0,1st,Southampton,Canada,151.16,no
"Allison, Mrs. Bessie Waldo",female,25.0,1st,Southampton,United States,151.16,no
"Allum, Mr. Owen George",male,18.0,3rd,Southampton,England,8.06,no
"Al-Munà, Mr. Farīd Husayn Qāsim",male,19.0,3rd,Cherbourg,Lebanon,7.0407,no
"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0,3rd,Southampton,Denmark,7.1701,yes
"Andersen, Mr. Albert Karvin",male,33.0,3rd,Southampton,Norway,22.1006,no
"Anderson, Mr. Harry",male,47.0,1st,Southampton,United States,26.11,yes
"Andersson, Master. Sigvard Harald Elias",male,4.0,3rd,Southampton,Sweden,31.0506,no
"Andersson, Miss. Ebba Iris Alfrida",female,6.0,3rd,Southampton,Sweden,31.0506,no
"Andersson, Miss. Ellis Anna Maria",female,2.0,3rd,Southampton,Sweden,31.0506,no
"Andersson, Miss. Erna Alexandra",female,16.0,3rd,Southampton,Finland,7.1806,yes
"Andersson, Miss. Ida Augusta Margareta",female,38.0,3rd,Southampton,Sweden,7.1506,no
"Andersson, Miss. Ingeborg Constanzia",female,9.0,3rd,Southampton,Sweden,31.0506,no
"Andersson, Miss. Sigrid Elisabeth",female,11.0,3rd,Southampton,Sweden,31.0506,no
"Andersson, Mr. Anders Johan",male,39.0,3rd,Southampton,Sweden,31.0506,no
"Andersson, Mr. Johan Samuel",male,26.0,3rd,Southampton,Sweden,7.1506,no
"Andersson, Mrs. Alfrida Konstantia Brogren",female,39.0,3rd,Southampton,Sweden,31.0506,no
"Andreasson, Mr. Pål Edvin",male,20.0,3rd,Southampton,Sweden,7.1701,no
"Andrew, Mr. Edgar Samuel",male,17.0,2nd,Southampton,Argentina,11.1,no
"Andrew, Mr. Frank Thomas",male,27.0,2nd,Southampton,England,10.1,no
"Andrews, Miss. Kornelia Theodosia",female,62.0,1st,Cherbourg,United States,77.1902,yes
"Angheloff, Mr. Minko",male,26.0,3rd,Southampton,Bulgaria,7.1711,no
"Angle, Mrs. Florence Agnes",female,36.0,2nd,Southampton,England,26.0,yes
"Angle, Mr. William",male,31.0,2nd,Southampton,England,26.0,no
"Appleton, Mrs. Charlotte",female,53.0,1st,Southampton,United States,51.0907,yes
"Arnold-Franchi, Mr. Josef",male,25.0,3rd,Southampton,Switzerland,17.16,no
"Arnold-Franchi, Mrs. Josefine",female,18.0,3rd,Southampton,Switzerland,17.16,no
"Aronsson, Mr. Ernst Axel Algot",male,25.0,3rd,Southampton,Sweden,7.1506,no
"Artagaveytia, Mr. Ramon",male,71.0,1st,Cherbourg,Argentina,49.1001,no
"Ashby, Mr. John",male,57.0,2nd,Southampton,England,13.0,no
"Asim, Mr. Adola",male,35.0,3rd,Southampton,Argentina,7.01,no
"Asplund, Master. Carl Edgar",male,5.0,3rd,Southampton,Sweden,31.0709,no
"Asplund, Master. Clarence Gustaf Hugo",male,9.0,3rd,Southampton,Sweden,31.0709,no
"Asplund, Master. Edvin Rojj Felix",male,3.0,3rd,Southampton,Sweden,31.0709,yes
"Asplund, Master. Filip Oscar",male,13.0,3rd,Southampton,Sweden,31.0709,no
"Asplund, Miss. Lillian Gertrud",female,5.0,3rd,Southampton,Sweden,31.0709,yes
"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",male,40.0,3rd,Southampton,Sweden,31.0709,no
"Asplund, Mr. Johan Charles",male,13.0,3rd,Southampton,Sweden,7.1511,yes
"Asplund, Mrs. Selma Augusta Emilia",female,38.0,3rd,Southampton,Sweden,31.0709,yes
"Assaf, Mrs. Mariana",female,45.0,3rd,Cherbourg,Lebanon,7.0406,yes
"Assam, Mr. Ali",male,23.0,3rd,Southampton,Argentina,7.01,no
"Astor, Colonel. John Jacob",male,47.0,1st,Cherbourg,United States,247.1006,no
"Astor, Mrs. Madeleine Talmage",female,18.0,1st,Cherbourg,United States,247.1006,yes
"Attalah, Miss. Malake",female,17.0,3rd,Cherbourg,Lebanon,14.0902,no
"Attala, Mr. Sleiman",male,27.0,3rd,Cherbourg,Canada,7.0406,no
"Aubart, Mme. Léontine Pauline",female,24.0,1st,Cherbourg,France,69.06,yes
"Augustsson, Mr. Albert",male,23.0,3rd,Southampton,Sweden,7.1701,no
"Ayoub Daher, Miss. Banoura",female,15.0,3rd,Cherbourg,Lebanon,7.0407,yes
"Backström, Mr. Karl Alfred",male,32.0,3rd,Southampton,Finland,15.17,no
"Backström, Mrs. Maria Mathilda",female,33.0,3rd,Southampton,Finland,15.17,yes
"Baclini, Miss. Eugenie",female,3.0,3rd,Cherbourg,Lebanon,19.0502,yes
"Baclini, Miss. Helene Barbara",female,0.75,3rd,Cherbourg,Lebanon,19.0502,yes
"Baclini, Miss. Marie Catherine",female,5.0,3rd,Cherbourg,Lebanon,19.0502,yes
"Baclini, Mrs. Latifa",female,23.0,3rd,Cherbourg,Lebanon,19.0502,yes
"Badman, Miss. Emily Louisa",female,18.0,3rd,Southampton,England,8.01,yes
"Badt, Mr. Mohamed",male,40.0,3rd,Cherbourg,Lebanon,7.0406,no
"Bailey, Mr. Percy",male,18.0,2nd,Southampton,England,11.1,no
"Bainbrigge, Mr. Charles Robert",male,22.0,2nd,Southampton,Channel Islands,10.1,no
"Balkic, Mr. Cerin",male,26.0,3rd,Southampton,Bosnia,7.1711,no
"Balls, Mrs. Ada E.",female,36.0,2nd,Southampton,England,13.0,yes
"Banfield, Mr. Frederick James",male,28.0,2nd,Southampton,England,10.1,no
"Banski, Mrs. Mara",female,31.0,3rd,Southampton,Hungary,8.1308,yes
"Barbara, Miss. Saiide",female,18.0,3rd,Cherbourg,Lebanon,14.0901,no
"Barbara, Mrs. Catherine David",female,45.0,3rd,Cherbourg,Lebanon,14.0901,no
"Barkworth, Mr. Algernon Henry",male,47.0,1st,Southampton,England,30.0,yes
"Barry, Miss. Julia",female,33.0,3rd,Queenstown,Ireland,7.1707,no
"Barton, Mr. David John",male,22.0,3rd,Southampton,England,8.01,no
"Bassani, Mrs. Albina",female,32.0,1st,Cherbourg,Italy,76.051,yes
"Bateman, Revd. Robert James",male,52.0,2nd,Southampton,England,12.1006,no
"Batoshev, Mr. Hristo Lalev",male,23.0,3rd,Southampton,Bulgaria,7.1711,no
"Baumann, Mr. John D.",male,60.0,1st,Cherbourg,United States,25.1806,no
"Baxter, Mr. Quigg Edmond",male,24.0,1st,Cherbourg,Canada,247.1005,no
"Baxter, Mrs. Hélène",female,50.0,1st,Cherbourg,Canada,247.1005,yes
"Beane, Mr. Edward",male,32.0,2nd,Southampton,England,26.0,yes
"Beane, Mrs. Ethel",female,22.0,2nd,Southampton,England,26.0,yes
"Beattie, Mr. Thomson",male,36.0,1st,Southampton,Canada,75.041,no
"Beauchamp, Mr. Henry James",male,44.0,2nd,Southampton,England,26.0,no
"Beavan, Mr. William Thomas",male,20.0,3rd,Southampton,England,8.01,no
"Becker, Master. Richard F.",male,1.0,2nd,Southampton,India,39.0,yes
"Becker, Miss. Marion Louise",female,4.0,2nd,Southampton,India,39.0,yes
"Becker, Miss. Ruth Elizabeth",female,12.0,2nd,Southampton,India,39.0,yes
"Becker, Mrs. Nellie E.",female,35.0,2nd,Southampton,United States,39.0,yes
"Beckwith, Mr. Richard Leonard",male,37.0,1st,Southampton,United States,52.1101,yes
"Beckwith, Mrs. Sallie",female,46.0,1st,Southampton,United States,52.1101,yes
"Beesley, Mr. Lawrence",male,34.0,2nd,Southampton,England,13.0,yes
"Behr, Mr. Karl Howell",male,26.0,1st,Cherbourg,United States,30.0,yes
"Bengtsson, Mr. Johan Viktor",male,26.0,3rd,Southampton,Sweden,7.1506,no
"Bentham, Miss. Lillian W.",female,19.0,2nd,Southampton,United States,13.0,yes
"Berglund, Mr. Karl Ivar Sven",male,22.0,3rd,Southampton,Finland,9.07,no
"Berriman, Mr. William John",male,23.0,2nd,Southampton,England,13.0,no
"Bessette, Miss. Nellie Mayo",female,39.0,1st,Cherbourg,United States,63.0702,yes
"Bird, Miss. Ellen",female,31.0,1st,Southampton,England,221.1507,yes
"Birkeland, Mr. Hans Martin Monsen",male,21.0,3rd,Southampton,Norway,7.1506,no
"Bishop, Mr. Dickinson H.",male,25.0,1st,Cherbourg,United States,91.0107,yes
"Bishop, Mrs. Helen",female,19.0,1st,Cherbourg,United States,91.0107,yes
"Björklund, Mr. Ernst Herbert",male,18.0,3rd,Southampton,Sweden,7.15,no
"Björnström-Steffansson, Mr. Mauritz Hokan",male,28.0,1st,Southampton,Sweden,26.11,yes
"Blackwell, Mr. Stephen Weart",male,45.0,1st,Southampton,United States,35.1,no
"Blank, Mr. Henry",male,39.0,1st,Cherbourg,United States,31.0,yes
"Bonnell, Miss. Caroline",female,30.0,1st,Southampton,United States,164.1704,yes
"Bonnell, Miss. Elizabeth",female,61.0,1st,Southampton,England,26.11,yes
"Borebank, Mr. John James",male,41.0,1st,Southampton,England,26.11,no
"Botsford, Mr. William Hull",male,25.0,2nd,Southampton,United States,13.0,no
"Bourke, Miss. Mary",female,40.0,3rd,Queenstown,Ireland,7.15,no
"Bourke, Mr. John",male,42.0,3rd,Queenstown,Ireland,15.1,no
"Bourke, Mrs. Catherine",female,32.0,3rd,Queenstown,Ireland,15.1,no
"Bowen, Miss. Grace Scott",female,45.0,1st,Cherbourg,United States,262.0706,yes
"Bowen, Mr. David John 'Dai'",male,26.0,3rd,Southampton,Wales,16.02,no
"Bowerman, Miss. Elsie Edith",female,22.0,1st,Southampton,England,55.0,yes
"Bracken, Mr. James Hollen",male,30.0,2nd,Southampton,United States,13.0,no
"Bradley, Miss. Bridget Delia",female,22.0,3rd,Queenstown,Ireland,7.1406,yes
"Brady, Mr. John Bertram",male,41.0,1st,Southampton,United States,30.1,no
"Braf, Miss. Elin Ester Maria",female,20.0,3rd,Southampton,Sweden,7.1701,no
"Brandeis, Mr. Emil Franklin",male,48.0,1st,Cherbourg,United States,50.0911,no
"Braund, Mr. Lewis Richard",male,29.0,3rd,Southampton,England,7.0,no
"Braund, Mr. Owen Harris",male,23.0,3rd,Southampton,England,7.05,no
"Brereton, Mr. George Andrew",male,37.0,1st,Southampton,United States,26.11,yes
"Brewe, Dr. Arthur Jackson",male,46.0,1st,Cherbourg,United States,39.12,no
"Brobäck, Mr. Karl Rudolf",male,22.0,3rd,Southampton,Sweden,7.1511,no
"Brocklebank, Mr. William Alfred",male,40.0,3rd,Southampton,England,8.01,no
"Brown, Miss. Amelia Mary",female,18.0,2nd,Southampton,England,13.0,yes
"Brown, Miss. Edith Eileen",female,15.0,2nd,Southampton,South Africa,39.0,yes
"Brown, Mrs. Caroline Lane",female,59.0,1st,Southampton,United States,51.0907,yes
"Brown, Mrs. Elizabeth Catherine",female,40.0,2nd,Southampton,South Africa,39.0,yes
"Brown, Mrs. Margaret",female,44.0,1st,Cherbourg,United States,27.1405,yes
"Brown, Mr. Thomas William Solomon",male,60.0,2nd,Southampton,South Africa,39.0,no
"Bryhl, Miss. Dagmar Jenny Ingeborg",female,20.0,2nd,Southampton,Sweden,26.0,yes
"Bryhl, Mr. Kurt Arnold Gottfrid",male,25.0,2nd,Southampton,Sweden,26.0,no
"Buckley, Miss. Katherine",female,22.0,3rd,Queenstown,Ireland,7.0508,no
"Buckley, Mr. Daniel",male,21.0,3rd,Queenstown,Ireland,7.1517,yes
"Bucknell, Mrs. Emma Eliza",female,58.0,1st,Cherbourg,India,76.051,yes
"Būlus, Master. Akar",male,7.0,3rd,Cherbourg,Lebanon,15.0411,no
"Būlus, Miss. Nūr al-'ayn",female,10.0,3rd,Cherbourg,Lebanon,15.0411,no
"Būlus, Mrs. Sultānah",female,40.0,3rd,Cherbourg,Lebanon,15.0411,no
"Burke, Mr. Jeremiah",male,19.0,3rd,Queenstown,Ireland,6.15,no
"Burns, Miss. Mary Delia",female,17.0,3rd,Queenstown,Ireland,7.1707,no
"Buss, Miss. Kate",female,36.0,2nd,Southampton,England,13.0,yes
"Butler, Mr. Reginald Fenton",male,26.0,2nd,Southampton,England,13.0,no
"Butrus-Ka'wī, Mr. Tannūs",male,21.0,3rd,Cherbourg,Lebanon,7.0407,no
"Butt, Major. Archibald Willingham",male,46.0,1st,Southampton,United States,26.11,no
"Byles, Fr. Thomas Roussel Davids",male,42.0,2nd,Southampton,England,13.0,no
"Byström, Mrs. Karolina",female,40.0,2nd,Southampton,United States,13.0,yes
"Cacic, Miss. Manda",female,21.0,3rd,Southampton,Croatia (Modern),8.1303,no
"Cacic, Miss. Marija",female,30.0,3rd,Southampton,Croatia (Modern),8.1303,no
"Cacic, Mr. Jego Grga",male,18.0,3rd,Southampton,Croatia (Modern),8.1303,no
"Cacic, Mr. Luka",male,38.0,3rd,Southampton,Croatia (Modern),8.1303,no
"Cairns, Mr. Alexander Milne",male,28.0,1st,Southampton,Scotland,31.0,no
"Calderhead, Mr. Edward Pennington",male,42.0,1st,Southampton,United States,26.0509,yes
"Caldwell, Master. Alden Gates",male,0.8333333333,2nd,Southampton,Siam,29.0,yes
"Caldwell, Mr. Albert Francis",male,26.0,2nd,Southampton,Siam,29.0,yes
"Caldwell, Mrs. Sylvia Mae",female,28.0,2nd,Southampton,United States,29.0,yes
"Calic, Mr. Jovo",male,17.0,3rd,Southampton,Croatia (Modern),8.1303,no
"Calic, Mr. Petar",male,17.0,3rd,Southampton,Croatia (Modern),8.1303,no
"Cameron, Miss. Clear Annie",female,35.0,2nd,Southampton,England,21.0,yes
"Canavan, Miss. Mary",female,22.0,3rd,Queenstown,Ireland,7.15,no
"Canavan, Mr. Patrick",male,21.0,3rd,Queenstown,Ireland,7.15,no
"Candee, Mrs. Helen Churchill",female,52.0,1st,Cherbourg,United States,27.0811,yes
"Cann, Mr. Ernest",male,29.0,3rd,Southampton,England,8.01,no
"Caram, Mr. Joseph",male,28.0,3rd,Cherbourg,Canada,14.0902,no
"Caram, Mrs. Maria Elias",female,18.0,3rd,Cherbourg,Lebanon,14.0902,no
"Carbines, Mr. William",male,19.0,2nd,Southampton,England,13.0,no
"Cardeza, Mrs. Charlotte Wardle",female,58.0,1st,Cherbourg,United States,512.0607,yes
"Cardeza, Mr. Thomas Drake Martinez",male,36.0,1st,Cherbourg,United States,512.0607,yes
"Carlsson, Mr. August Sigfrid",male,28.0,3rd,Southampton,Sweden,7.1511,no
"Carlsson, Mr. Carl Robert",male,24.0,3rd,Southampton,Sweden,7.1701,no
"Carlsson, Mr. Frans Olof",male,33.0,1st,Southampton,United States,5.0,no
"Carraú-Esteves, Mr. José Pedro",male,17.0,1st,Southampton,Uruguay,47.02,no
"Carrau, Mr. Francisco Mauro Severiano",male,27.0,1st,Southampton,Uruguay,47.02,no
"Carr, Miss. Jane",female,45.0,3rd,Queenstown,Ireland,7.15,no
"Carter, Fr. Ernest Courtenay",male,54.0,2nd,Southampton,England,26.0,no
"Carter, Master. William Thornton II",male,11.0,1st,Southampton,United States,120.0,yes
"Carter, Miss. Lucile Polk",female,13.0,1st,Southampton,United States,120.0,yes
"Carter, Mrs. Lilian",female,45.0,2nd,Southampton,England,26.0,no
"Carter, Mrs. Lucile",female,36.0,1st,Southampton,United States,120.0,yes
"Carter, Mr. William Ernest",male,36.0,1st,Southampton,United States,120.0,yes
"Carver, Mr. Alfred John",male,28.0,3rd,Southampton,England,7.05,no
"Case, Mr. Howard Brown",male,49.0,1st,Southampton,United States,26.0,no
"Cassebeer, Mrs. Eleanor Genevieve",female,36.0,1st,Cherbourg,United States,27.1405,yes
"Cavendish, Mrs. Julia Florence",female,25.0,1st,Southampton,United States,78.17,yes
"Cavendish, Mr. Tyrell William",male,36.0,1st,Southampton,England,78.17,no
"Chaffee, Mr. Herbert Fuller",male,46.0,1st,Southampton,United States,61.0306,no
"Chaffee, Mrs. Carrie Constance",female,47.0,1st,Southampton,United States,61.0306,yes
"Chambers, Mr. Norman Campbell",male,27.0,1st,Southampton,United States,53.02,yes
"Chambers, Mrs. Bertha",female,32.0,1st,Southampton,United States,53.02,yes
"Chapman, Mr. Charles Henry",male,52.0,2nd,Southampton,United States,13.1,no
"Chapman, Mr. John Henry",male,37.0,2nd,Southampton,England,26.0,no
"Chapman, Mrs. Sara Elizabeth",female,29.0,2nd,Southampton,England,26.0,no
"Charters, Mr. David",male,20.0,3rd,Queenstown,Ireland,7.1408,no
"Cherry, Miss. Gladys",female,30.0,1st,Southampton,England,86.1,yes
"Chevré, Mr. Paul Romaine Marie Léonce",male,45.0,1st,Cherbourg,Belgium,29.14,yes
"Chibnall, Mrs. Edith Martha Bowerman",female,48.0,1st,Southampton,England,55.0,yes
"Christmann, Mr. Emil",male,29.0,3rd,Southampton,England,8.01,no
"Christy, Miss. Rachel Juli Cohen",female,25.0,2nd,Southampton,England,30.0,yes
"Christy, Mrs. Alice Frances",female,52.0,2nd,Southampton,England,30.0,yes
"Clarke, Mr. Charles Valentine",male,29.0,2nd,Southampton,England,26.0,no
"Clarke, Mrs. Ada Maria",female,28.0,2nd,Southampton,England,27.0,yes
"Clark, Mrs. Virginia Estelle",female,26.0,1st,Cherbourg,United States,136.1507,yes
"Clark, Mr. Walter Miller",male,27.0,1st,Cherbourg,United States,136.1507,no
"Cleaver, Miss. Alice Catherine",female,22.0,1st,Southampton,England,151.16,yes
"Clifford, Mr. George Quincy",male,40.0,1st,Southampton,United States,52.0,no
"Cohen, Mr. Gurshon",male,18.0,3rd,Southampton,England,8.01,yes
"Colbert, Mr. Patrick",male,24.0,3rd,Queenstown,Ireland,7.05,no
"Coleff, Mr. Satio",male,24.0,3rd,Southampton,Bulgaria,7.1711,no
"Coleridge, Mr. Reginald Charles",male,29.0,2nd,Southampton,England,10.1,no
"Collander, Mr. Erik Gustaf",male,27.0,2nd,Southampton,Finland,13.0,no
"Collett, Mr. Sidney Clarence Stuart",male,25.0,2nd,Southampton,England,10.1,yes
"Colley, Mr. Edward Pomeroy",male,37.0,1st,Southampton,Ireland,25.1109,no
"Collyer, Miss. Marjorie Lottie",female,8.0,2nd,Southampton,England,26.05,yes
"Collyer, Mr. Harvey",male,31.0,2nd,Southampton,England,26.05,no
"Collyer, Mrs. Charlotte Caroline",female,30.0,2nd,Southampton,England,26.05,yes
"Coltcheff, Mr. Peju",male,36.0,3rd,Southampton,Bulgaria,7.1711,no
"Compton, Miss. Sara Rebecca",female,39.0,1st,Cherbourg,United States,83.0302,yes
"Compton, Mr. Alexander Taylor jr",male,37.0,1st,Cherbourg,United States,83.0302,no
"Compton, Mrs. Mary Eliza",female,64.0,1st,Cherbourg,United States,83.0302,yes
"Conlin, Mr. Thomas Henry",male,31.0,3rd,Queenstown,United States,7.1408,no
"Connaughton, Mr. Michael",male,40.0,3rd,Queenstown,Ireland,7.15,no
"Connolly, Miss. Catherine",female,23.0,3rd,Queenstown,Ireland,7.15,yes
"Connolly, Miss. Kate",female,41.0,3rd,Queenstown,Ireland,7.1207,no
"Connors, Mr. Patrick",male,66.0,3rd,Queenstown,Ireland,7.15,no
"Cook, Mrs. Selena",female,22.0,2nd,Southampton,England,10.1,yes
"Corbett, Mrs. Irene",female,30.0,2nd,Southampton,United States,13.0,no
"Cor, Mr. Bartol",male,35.0,3rd,Southampton,Croatia (Modern),7.1711,no
"Cor, Mr. Ivan",male,27.0,3rd,Southampton,Hungary,7.1711,no
"Cor, Mr. Liudevit",male,19.0,3rd,Southampton,Hungary,7.1711,no
"Cornblatt, Mr. Harris",male,30.0,3rd,Southampton,Poland,8.01,no
"Cornell, Mrs. Malvina Helen",female,55.0,1st,Southampton,United States,25.141,yes
"Corr, Miss. Ellen",female,16.0,3rd,Queenstown,Ireland,7.15,yes
"Cotterill, Mr. Henry",male,21.0,2nd,Southampton,England,11.1,no
"Coutts, Master. Neville Leslie",male,3.0,3rd,Southampton,England,15.18,yes
"Coutts, Master. William Loch",male,9.0,3rd,Southampton,England,15.18,yes
"Coutts, Mrs. Winnie",female,36.0,3rd,Southampton,England,15.18,yes
"Coxon, Mr. Daniel",male,58.0,3rd,Southampton,England,7.05,no
"Crafton, Mr. John Bertram",male,59.0,1st,Southampton,United States,26.11,no
"Crease, Mr. Ernest James",male,20.0,3rd,Southampton,United States,8.0302,no
"Cribb, Miss. Laura Mae",female,16.0,3rd,Southampton,United States,16.02,yes
"Cribb, Mr. John Hatfield",male,43.0,3rd,Southampton,Australia,16.02,no
"Crosby, Captain. Edward Gifford",male,70.0,1st,Southampton,United States,71.0,no
"Crosby, Miss. Harriette Rebecca",female,39.0,1st,Southampton,United States,26.11,yes
"Crosby, Mrs. Catherine Elizabeth",female,64.0,1st,Southampton,United States,71.0,yes
"Culumovic, Mr. Jeso",male,17.0,3rd,Southampton,Croatia (Modern),8.1303,no
"Cumings, Mr. John Bradley",male,39.0,1st,Cherbourg,United States,71.0508,no
"Cumings, Mrs. Florence Briggs",female,35.0,1st,Cherbourg,Peru,71.0508,yes
"Dahlberg, Miss. Gerda Ulrika",female,22.0,3rd,Southampton,Sweden,10.1004,no
"Daly, Miss. Margaret Marcella",female,33.0,3rd,Queenstown,Ireland,6.19,yes
"Daly, Mr. Eugene Patrick",male,29.0,3rd,Queenstown,Ireland,7.15,yes
"Daly, Mr. Peter Dennis",male,51.0,1st,Southampton,England,26.11,yes
"Danbom, Master. Gilbert Sigvard Emanuel",male,0.3333333333,3rd,Southampton,Sweden,14.08,no
"Danbom, Mr. Ernst Gilbert",male,34.0,3rd,Southampton,Sweden,14.08,no
"Danbom, Mrs. Anna Sigrid Maria",female,28.0,3rd,Southampton,Sweden,14.08,no
"Daniel, Mr. Robert Williams",male,27.0,1st,Southampton,United States,30.1,yes
"Daniels, Miss. Sarah Rebecca",female,36.0,1st,Southampton,England,151.16,yes
"Davidson, Mrs. Orian",female,27.0,1st,Cherbourg,Canada,52.0,yes
"Davidson, Mr. Thornton",male,31.0,1st,Cherbourg,Canada,52.0,no
"Davies, Master. John Morgan jr",male,8.0,2nd,Southampton,England,36.15,yes
"Davies, Mr. Alfred James",male,24.0,3rd,Southampton,England,24.03,no
"Davies, Mr. Charles Henry",male,19.0,2nd,Southampton,England,73.1,no
"Davies, Mr. Evan Lewis",male,22.0,3rd,Southampton,Wales,8.01,no
"Davies, Mr. John",male,22.0,3rd,Southampton,England,24.03,no
"Davies, Mr. Joseph",male,17.0,3rd,Southampton,England,8.01,no
"Davies, Mrs. Agnes",female,48.0,2nd,Southampton,England,36.15,yes
"Davis, Miss. Mary Ann Charlotte",female,28.0,2nd,Southampton,England,13.0,yes
"Davison, Mrs. Mary Elizabeth",female,34.0,3rd,Southampton,England,16.02,yes
"Davison, Mr. Thomas Henry",male,32.0,3rd,Southampton,England,16.02,no
"Deacon, Mr. Percy William",male,18.0,2nd,Southampton,England,73.1,no
"Dean, Master. Bertram Vere",male,1.0,3rd,Southampton,England,20.1106,yes
"Dean, Miss. Elizabeth Gladys 'Millvina'",female,0.1666666667,3rd,Southampton,England,20.1106,yes
"Dean, Mr. Bertram Frank",male,25.0,3rd,Southampton,England,20.1106,no
"Dean, Mrs. Eva Georgetta",female,32.0,3rd,Southampton,England,20.1106,yes
"Delalic, Mr. Redjo",male,25.0,3rd,Southampton,Bosnia,7.1711,no
"Del Carlo, Mrs. Argene",female,24.0,2nd,Cherbourg,Italy,27.1405,yes
"Del Carlo, Mr. Sebastiano",male,29.0,2nd,Cherbourg,Italy,27.1405,no
"De Messemaeker, Mr. Guillaume Joseph",male,36.0,3rd,Southampton,United States,17.08,yes
"De Messemaeker, Mrs. Anna",female,36.0,3rd,Southampton,United States,17.08,yes
"De Mulder, Mr. Theodoor",male,30.0,3rd,Southampton,Belgium,9.1,yes
