name,gender,age,class,embarked,country,fare,survived
"Denbuoy, Mr. Albert Joseph",male,25.0,2nd,Southampton,Channel Islands,31.1,no
"Dennis, Mr. Samuel",male,22.0,3rd,Southampton,England,7.05,no
"Dennis, Mr. William",male,26.0,3rd,Southampton,England,7.05,no
"De Pelsmaeker, Mr. Alfons",male,16.0,3rd,Southampton,Belgium,9.1,no
"Devaney, Miss. Margaret Delia",female,19.0,3rd,Queenstown,Ireland,7.1707,yes
"Dibden, Mr. William",male,18.0,2nd,Southampton,England,73.1,no
"Dick, Mr. Albert Adrian",male,31.0,1st,Southampton,Canada,57.0,yes
"Dick, Mrs. Vera",female,17.0,1st,Southampton,United States,57.0,yes
"Dika, Mr. Mirko",male,17.0,3rd,Southampton,Croatia (Modern),7.1711,no
"Dimic, Mr. Jovan",male,42.0,3rd,Southampton,Hungary,8.1303,no
"Dodge, Dr. Washington",male,52.0,1st,Southampton,United States,81.1702,yes
"Dodge, Master. Washington",male,4.0,1st,Southampton,United States,81.1702,yes
"Dodge, Mrs. Ruth",female,34.0,1st,Southampton,United States,81.1702,yes
"Doling, Miss. Elsie",female,18.0,2nd,Southampton,England,23.0,yes
"Doling, Mrs. Ada Julia Elizabeth",female,34.0,2nd,Southampton,England,23.0,yes
"Donohoe, Miss. Bridget",female,21.0,3rd,Queenstown,Ireland,7.15,no
"Dooly, Mr. Patrick",male,37.0,3rd,Queenstown,Ireland,7.15,no
"Dorking, Mr. Edward Arthur",male,18.0,3rd,Southampton,England,8.01,yes
"Dougherty, Mr. William John",male,22.0,3rd,Queenstown,Ireland,8.0902,no
"Douglas, Mrs. Mahala",female,48.0,1st,Cherbourg,United States,106.0806,yes
"Douglas, Mrs. Mary Hélène",female,27.0,1st,Cherbourg,Canada,247.1005,yes
"Douglas, Mr. Walter Donald",male,50.0,1st,Cherbourg,United States,106.0806,no
"Douton, Mr. William Joseph",male,55.0,2nd,Southampton,England,26.0,no
"Dowdell, Miss. Elizabeth",female,31.0,3rd,Southampton,United States,12.0906,yes
"Doyle, Miss. Elizabeth",female,28.0,3rd,Queenstown,Ireland,7.15,no
"Drazenovic, Mr. Jozef",male,33.0,3rd,Cherbourg,Croatia (Modern),7.1711,no
"Drew, Master. Marshall Brines",male,8.0,2nd,Southampton,United States,32.1,yes
"Drew, Mr. James Vivian",male,42.0,2nd,Southampton,England,32.1,no
"Drew, Mrs. Maria Louisa Thorne",female,34.0,2nd,Southampton,United States,32.1,yes
"Driscoll, Miss. Bridget",female,27.0,3rd,Queenstown,Ireland,7.15,yes
"Dropkin, Miss. Jennie",female,24.0,3rd,Southampton,England,8.01,yes
"Duff Gordon, Lucy Christiana, Lady",female,48.0,1st,Cherbourg,England,56.1807,yes
"Duff Gordon, Sir. Cosmo Edmund",male,49.0,1st,Cherbourg,England,39.12,yes
"Dulles, Mr. William Crothers",male,39.0,1st,Cherbourg,United States,29.14,no
"Duquemin, Mr. Joseph Pierre",male,24.0,3rd,Southampton,Channel Islands,7.11,yes
"Durán i Moné, Sra. Asuncion",female,27.0,2nd,Cherbourg,Spain,13.1702,yes
"Durán i Moné, Sra. Florentina",female,30.0,2nd,Cherbourg,Spain,13.1702,yes
"Dwan, Mr. Frank",male,65.0,3rd,Queenstown,Ireland,7.15,no
"Dyker, Mr. Adolf Fredrik",male,23.0,3rd,Southampton,United States,13.18,no
"Dyker, Mrs. Anna Elisabeth Judith",female,22.0,3rd,Southampton,United States,13.18,yes
"Earnshaw, Mrs. Olive",female,23.0,1st,Cherbourg,United States,83.0302,yes
"Edvardsson, Mr. Gustaf Hjalmar",male,18.0,3rd,Southampton,Sweden,7.1506,no
"Eitemiller, Mr. George Floyd",male,25.0,2nd,Southampton,United States,13.0,no
"Eklund, Mr. Hans Linus",male,16.0,3rd,Southampton,Sweden,7.1506,no
"Ekström, Mr. Amandus",male,45.0,3rd,Southampton,Sweden,6.1906,no
"Elias, Mr. Joseph jr.",male,15.0,3rd,Cherbourg,Lebanon,7.0407,no
"Elias Nasrallah, Mr. Tannous",male,22.0,3rd,Cherbourg,Lebanon,7.0407,no
"Elsbury, Mr. William James",male,48.0,3rd,Southampton,England,7.05,no
"Emanuel, Miss. Virginia Ethel",female,5.0,3rd,Southampton,United States,12.0906,yes
"Enander, Mr. Ingvar",male,21.0,2nd,Southampton,Sweden,13.0,no
"Endres, Miss. Caroline Louise",female,39.0,1st,Cherbourg,United States,247.1006,yes
"Eustis, Miss. Elizabeth Mussey",female,54.0,1st,Cherbourg,United States,78.0504,yes
"Evans, Miss. Edith Corse",female,36.0,1st,Cherbourg,United States,31.1307,no
"Everett, Mr. Thomas James",male,38.0,3rd,Southampton,England,15.02,no
"Fahlstrøm, Mr. Arne Joma",male,18.0,2nd,Southampton,Norway,13.0,no
"Fardon, Mr. Charles Richard",male,46.0,3rd,Southampton,England,7.05,no
"Farrell, Mr. James",male,26.0,3rd,Queenstown,Ireland,7.15,no
"Farthing, Mr. John",male,49.0,1st,Southampton,England,221.1507,no
"Faunthorpe, Mr. Harry Bartram",male,32.0,2nd,Southampton,England,26.0,no
"Fillbrook, Mr. Joseph Charles",male,18.0,2nd,Southampton,England,10.1,no
"Fischer, Mr. Eberhard Thelander",male,18.0,3rd,Southampton,Sweden,7.1511,no
"Flegenheim, Mrs. Antoinette",female,48.0,1st,Cherbourg,United States,31.1308,yes
"Fleming, Miss. Honor",female,22.0,3rd,Queenstown,Ireland,7.15,no
"Fleming, Miss. Margaret",female,42.0,1st,Cherbourg,United States,110.1708,yes
"Flynn, Mr. James",male,28.0,3rd,Queenstown,Ireland,7.15,no
"Flynn, Mr. John",male,48.0,3rd,Queenstown,Ireland,6.19,no
"Flynn, Mr. John Irwin",male,36.0,1st,Southampton,Canada,26.0509,yes
"Foley, Mr. Joseph",male,19.0,3rd,Queenstown,Ireland,7.1707,no
"Foley, Mr. William",male,20.0,3rd,Queenstown,Ireland,7.15,no
"Ford, Miss. Dollina Margaret",female,20.0,3rd,Southampton,England,34.0706,no
"Ford, Miss. Robina Maggie",female,7.0,3rd,Southampton,England,34.0706,no
"Ford, Mr. Arthur",male,23.0,3rd,Southampton,England,8.01,no
"Ford, Mr. Edward Watson",male,18.0,3rd,Southampton,England,34.0706,no
"Ford, Mrs. Margaret Ann Watson",female,54.0,3rd,Southampton,Scotland,34.0706,no
"Ford, Mr. William Neal Thomas",male,14.0,3rd,Southampton,England,34.0706,no
"Foreman, Mr. Benjamin Laventall",male,30.0,1st,Southampton,United States,27.15,no
"Fortune, Miss. Alice Elizabeth",female,24.0,1st,Southampton,Canada,263.0,yes
"Fortune, Miss. Ethel Flora",female,28.0,1st,Southampton,Canada,263.0,yes
"Fortune, Miss. Mabel Helen",female,23.0,1st,Southampton,Canada,263.0,yes
"Fortune, Mr. Charles Alexander",male,19.0,1st,Southampton,Canada,263.0,no
"Fortune, Mr. Mark",male,64.0,1st,Southampton,Canada,263.0,no
"Fortune, Mrs. Mary",female,60.0,1st,Southampton,Canada,263.0,yes
"Fox, Mr. Patrick",male,28.0,3rd,Queenstown,Ireland,7.15,no
"Fox, Mr. Stanley Harrington",male,38.0,2nd,Southampton,United States,13.0,no
"Francatelli, Miss. Laura Mabel",female,32.0,1st,Cherbourg,England,56.1807,yes
"Franklin, Mr. Thomas Parnham",male,37.0,1st,Southampton,England,26.11,no
"Frauenthal, Dr. Henry William",male,49.0,1st,Southampton,United States,133.13,yes
"Frauenthal, Mr. Isaac Gerald",male,43.0,1st,Cherbourg,United States,27.1405,yes
"Frauenthal, Mrs. Clara",female,42.0,1st,Southampton,United States,133.13,yes
"Frölicher, Miss. Hedwig Margaritha",female,22.0,1st,Cherbourg,Switzerland,49.1,yes
"Frölicher-Stehli, Mr. Maximilian Josef",male,60.0,1st,Cherbourg,Switzerland,79.04,yes
"Frölicher-Stehli, Mrs. Margaretha Emerentia",female,48.0,1st,Cherbourg,Switzerland,79.04,yes
"Funk, Miss. Annie Clemmer",female,38.0,2nd,Southampton,India,13.0,no
"Futrelle, Mr. Jacques Heath",male,37.0,1st,Southampton,England,53.02,no
"Futrelle, Mrs. Lily May",female,35.0,1st,Southampton,England,53.02,yes
"Fynney, Mr. Joseph J.",male,36.0,2nd,Southampton,England,26.0,no
"Gale, Mr. Harry",male,38.0,2nd,Southampton,England,21.0,no
"Gale, Mr. Shadrach",male,33.0,2nd,Southampton,England,21.0,no
"Gallagher, Mr. Martin",male,29.0,3rd,Queenstown,Ireland,7.141,no
"Garfirth, Mr. John",male,23.0,3rd,Southampton,England,14.1,no
"Garside, Miss. Ethel",female,39.0,2nd,Southampton,England,13.0,yes
"Gaskell, Mr. William Alfred",male,19.0,2nd,Southampton,England,26.0,no
"Gavey, Mr. Laurence",male,26.0,2nd,Southampton,Channel Islands,10.1,no
"Gee, Mr. Arthur H.",male,47.0,1st,Southampton,England,38.1,no
"George/Joseph, Mrs. Shawneene",female,38.0,3rd,Cherbourg,United States,7.0407,yes
"Gerios Thamah, Mr. Assaf",male,21.0,3rd,Cherbourg,Lebanon,7.0406,no
"Gibson, Miss. Dorothy Winifred",female,22.0,1st,Cherbourg,United States,59.08,yes
"Gibson, Mrs. Pauline Caroline",female,44.0,1st,Cherbourg,United States,59.08,yes
"Gilbert, Mr. William",male,47.0,2nd,Southampton,England,10.1,no
"Giles, Mr. Edgar",male,19.0,2nd,Southampton,England,11.1,no
"Giles, Mr. Frederick Edward",male,21.0,2nd,Southampton,England,11.1,no
"Giles, Mr. Ralph",male,24.0,2nd,Southampton,England,13.1,no
"Gilinski, Mr. Eliezer",male,23.0,3rd,Southampton,Wales,8.01,no
"Gillespie, Mr. William Henry",male,31.0,2nd,Southampton,Ireland,13.0,no
"Gill, Mr. John",male,24.0,2nd,Southampton,England,13.0,no
"Gilnagh, Miss. Katherine",female,17.0,3rd,Queenstown,Ireland,7.1408,yes
"Givard, Mr. Hans Kristensen",male,30.0,2nd,Southampton,Argentina,13.0,no
"Glynn, Miss. Mary Agatha",female,18.0,3rd,Queenstown,Ireland,7.15,yes
"Goldenberg, Mr. Samuel L.",male,47.0,1st,Cherbourg,United States,89.0201,yes
"Goldenberg, Mrs. Nella",female,40.0,1st,Cherbourg,United States,89.0201,yes
"Goldschmidt, Mr. George B.",male,71.0,1st,Cherbourg,United States,34.1301,no
"Goldsmith, Master. Frank John William",male,9.0,3rd,Southampton,England,20.1006,yes
"Goldsmith, Mr. Frank John",male,33.0,3rd,Southampton,England,20.1006,no
"Goldsmith, Mrs. Emily Alice",female,31.0,3rd,Southampton,England,20.1006,yes
"Goodwin, Master. Harold Victor",male,9.0,3rd,Southampton,England,46.18,no
"Goodwin, Master. Sidney Leslie",male,1.0,3rd,Southampton,England,46.18,no
"Goodwin, Master. William Frederick",male,11.0,3rd,Southampton,England,46.18,no
"Goodwin, Miss. Jessie Allis",female,10.0,3rd,Southampton,England,46.18,no
"Goodwin, Miss. Lillian Amy",female,16.0,3rd,Southampton,England,46.18,no
"Goodwin, Mr. Charles Edward",male,14.0,3rd,Southampton,England,46.18,no
"Goodwin, Mr. Frederick Joseph",male,42.0,3rd,Southampton,England,46.18,no
"Goodwin, Mrs. Augusta",female,43.0,3rd,Southampton,England,46.18,no
"Gracie, Colonel. Archibald",male,53.0,1st,Southampton,United States,28.1,yes
"Graham, Miss. Margaret Edith",female,19.0,1st,Southampton,England,153.0903,yes
"Graham, Mr. George Edward",male,38.0,1st,Southampton,Canada,30.0,no
"Graham, Mrs. Edith",female,59.0,1st,Southampton,England,153.0903,yes
"Greenberg, Mr. Samuel",male,52.0,2nd,Southampton,South Africa,13.0,no
"Greenfield, Mrs. Blanche",female,45.0,1st,Cherbourg,United States,63.0702,yes
"Greenfield, Mr. William Bertram",male,23.0,1st,Cherbourg,United States,63.0702,yes
"Green, Mr. George",male,41.0,3rd,Southampton,England,8.01,no
"Grønnestad, Mr. Daniel Danielsen",male,32.0,3rd,Southampton,Norway,8.0615,no
"Guest, Mr. Charles Robert",male,25.0,3rd,Southampton,England,8.01,no
"Guggenheim, Mr. Benjamin",male,46.0,1st,Cherbourg,France,79.04,no
"Gustafsson, Mr. Alfred Ossian",male,19.0,3rd,Southampton,Finland,9.1611,no
"Gustafsson, Mr. Anders Vilhelm",male,37.0,3rd,Southampton,Finland,7.1806,no
"Gustafsson, Mr. Johan Birger",male,28.0,3rd,Southampton,Finland,7.1806,no
"Gustafsson, Mr. Karl Gideon",male,19.0,3rd,Southampton,Sweden,7.1506,no
"Haas, Miss. Aloisia",female,24.0,3rd,Southampton,Switzerland,8.17,no
"Hagland, Mr. Ingvald Olai Olsen",male,28.0,3rd,Southampton,Norway,6.1904,no
"Hagland, Mr. Konrad Mathias Reiersen",male,19.0,3rd,Southampton,Norway,6.1904,no
"Hakkarainen, Mr. Pekka Pietari",male,28.0,3rd,Southampton,Finland,15.17,no
"Hakkarainen, Mrs. Elin Matilda",female,24.0,3rd,Southampton,Finland,15.17,yes
"Hale, Mr. Reginald",male,30.0,2nd,Southampton,England,13.0,no
"Hämäläinen, Master. Viljo Unto Johannes",male,0.5833333333,2nd,Southampton,United States,14.1,yes
"Hämäläinen, Mrs. Anna",female,23.0,2nd,Southampton,United States,14.1,yes
"Hampe, Mr. Léon Jérome",male,19.0,3rd,Southampton,Belgium,9.1,no
"Hannah, Mr. Borak",male,27.0,3rd,Cherbourg,Lebanon,7.0407,yes
"Hanna, Mr. Boulos",male,18.0,3rd,Cherbourg,Lebanon,7.0406,no
"Hanna, Mr. Mansour",male,35.0,3rd,Cherbourg,Lebanon,7.0407,no
"Hansen, Mr. Claus Peter",male,41.0,3rd,Southampton,United States,14.0202,no
"Hansen, Mr. Henrik Juul",male,26.0,3rd,Southampton,Denmark,7.1701,no
"Hansen, Mr. Henry Damsgaard",male,21.0,3rd,Southampton,Denmark,7.1701,no
"Hansen, Mrs. Jennie Louise",female,45.0,3rd,Southampton,United States,14.0202,yes
"Harbeck, Mr. William H.",male,45.0,2nd,Southampton,United States,13.0,no
"Harder, Mr. George Achilles",male,25.0,1st,Cherbourg,United States,55.081,yes
"Harder, Mrs. Dorothy",female,21.0,1st,Cherbourg,United States,55.081,yes
"Hargadon, Miss. Catherine",female,17.0,3rd,Queenstown,Ireland,7.1408,no
"Harknett, Miss. Alice Phoebe",female,21.0,3rd,Southampton,England,7.11,no
"Harper, Miss. Annie Jessie",female,6.0,2nd,Southampton,Scotland,33.0,yes
"Harper, Mr. Henry Sleeper",male,48.0,1st,Cherbourg,United States,76.1407,yes
"Harper, Mrs. Myra Raymond",female,49.0,1st,Cherbourg,United States,76.1407,yes
"Harper, Rev. John",male,39.0,2nd,Southampton,Scotland,33.0,no
"Harrington, Mr. Charles Henry",male,37.0,1st,Southampton,England,42.08,no
"Harris, Mr. George",male,62.0,2nd,Southampton,England,10.1,yes
"Harris, Mr. Henry Birkhardt",male,45.0,1st,Southampton,United States,83.0906,no
"Harris, Mrs. Irene",female,35.0,1st,Southampton,United States,83.0906,yes
"Harris, Mr. Walter",male,45.0,2nd,Southampton,England,10.1,no
"Hart, Miss. Eva Miriam",female,7.0,2nd,Southampton,England,26.05,yes
"Hart, Mr. Benjamin",male,47.0,2nd,Southampton,England,26.05,no
"Hart, Mr. Henry",male,29.0,3rd,Queenstown,Ireland,6.1702,no
"Hart, Mrs. Esther Ada",female,48.0,2nd,Southampton,England,26.05,yes
"Hassab, Mr. Hammad",male,27.0,1st,Cherbourg,Egypt,76.1407,yes
"Hawksford, Mr. Walter James",male,45.0,1st,Southampton,England,30.0,yes
"Hays, Miss. Margaret Bechstein",female,24.0,1st,Cherbourg,United States,83.0302,yes
"Hays, Mr. Charles Melville",male,55.0,1st,Southampton,Canada,93.1,no
"Hays, Mrs. Clara Jennings",female,52.0,1st,Southampton,Canada,93.1,yes
"Head, Mr. Christopher",male,42.0,1st,Southampton,England,42.1,no
"Healy, Miss. Honor",female,33.0,3rd,Queenstown,Ireland,7.15,yes
"Hedman, Mr. Oskar Arvid",male,27.0,3rd,Southampton,Sweden,6.1906,yes
"Hegarty, Miss. Hanora",female,20.0,3rd,Queenstown,Ireland,6.15,no
"Heikkinen, Miss. Laina",female,16.0,3rd,Southampton,Finland,7.1806,yes
"Heininen, Miss. Wendla Maria",female,23.0,3rd,Southampton,Finland,7.1806,no
"Hellström, Miss. Hilda Maria",female,22.0,3rd,Southampton,Sweden,8.1903,yes
"Hendekovic, Mr. Ignjac",male,30.0,3rd,Southampton,Hungary,7.1711,no
"Henriksson, Miss. Jenny Lovisa",female,28.0,3rd,Southampton,Sweden,7.1506,no
"Henry, Miss. Bridget Delia",female,21.0,3rd,Queenstown,Ireland,7.15,no
"Herman, Miss. Alice",female,24.0,2nd,Southampton,England,65.0,yes
"Herman, Miss. Kate",female,24.0,2nd,Southampton,England,65.0,yes
"Herman, Mr. Samuel",male,50.0,2nd,Southampton,England,65.0,no
"Herman, Mrs. Jane",female,50.0,2nd,Southampton,India,65.0,yes
"Hewlett, Mrs. Mary Dunbar",female,56.0,2nd,Southampton,India,16.0,yes
"Hickman, Mr. Leonard Mark",male,24.0,2nd,Southampton,England,73.1,no
"Hickman, Mr. Lewis",male,30.0,2nd,Southampton,England,73.1,no
"Hickman, Mr. Stanley George",male,21.0,2nd,Southampton,England,73.1,no
"Hilliard, Mr. Herbert Henry",male,44.0,1st,Southampton,England,51.1703,no
"Hiltunen, Miss. Marta",female,18.0,2nd,Southampton,Finland,13.0,no
"Hipkins, Mr. William Edward",male,55.0,1st,Southampton,England,50.0,no
"Hippach, Miss. Jean Gertrude",female,17.0,1st,Cherbourg,United States,57.1907,yes
"Hippach, Mrs. Ida Sophia",female,44.0,1st,Cherbourg,United States,57.1907,yes
"Hirvonen, Miss. Hildur Elisabeth",female,2.0,3rd,Southampton,Finland,12.0509,yes
"Hirvonen, Mrs. Helga Elisabeth Lindqvist",female,22.0,3rd,Southampton,Finland,12.0509,yes
"Hocking, Miss. Ellen",female,20.0,2nd,Southampton,England,23.0,yes
"Hocking, Mr. Richard George",male,24.0,2nd,Southampton,England,11.1,no
"Hocking, Mr. Samuel James Metcalfe",male,36.0,2nd,Southampton,England,13.0,no
"Hocking, Mrs. Eliza",female,54.0,2nd,Southampton,England,23.0,yes
"Hodges, Mr. Henry Price",male,50.0,2nd,Southampton,England,13.0,no
"Hogeboom, Mrs. Anna Louisa",female,51.0,1st,Cherbourg,United States,77.1902,yes
"Hold, Mrs. Annie Margaret",female,29.0,2nd,Southampton,England,26.0,yes
"Hold, Mr. Stephen",male,44.0,2nd,Southampton,England,26.0,no
"Holm, Mr. John Fredrik Alexander",male,43.0,3rd,Southampton,Sweden,6.09,no
"Holthen, Mr. Johan Martin",male,18.0,3rd,Southampton,Norway,22.1006,no
"Holverson, Mr. Alexander Oskar",male,42.0,1st,Southampton,United States,52.0,no
"Holverson, Mrs. Mary Aline",female,35.0,1st,Southampton,United States,52.0,yes
"Homer, Mr. Harry",male,40.0,1st,Southampton,United States,26.11,yes
"Honkanen, Miss. Eliina",female,27.0,3rd,Southampton,Finland,7.1806,yes
"Hood, Mr. Ambrose Jr",male,21.0,2nd,Southampton,England,73.1,no
"Hosono, Mr. Masabumi",male,41.0,2nd,Southampton,Japan,13.0,yes
"Howard, Miss. May Elizabeth",female,26.0,3rd,Southampton,England,8.01,yes
"Howard, Mr. Benjamin",male,63.0,2nd,Southampton,England,26.0,no
"Howard, Mrs. Ellen Truelove",female,61.0,2nd,Southampton,England,26.0,no
"Hoyt, Mr. Frederick Maxfield",male,38.0,1st,Southampton,United States,100.0,yes
"Hoyt, Mrs. Jane Anne",female,31.0,1st,Southampton,United States,100.0,yes
"Hoyt, Mr. William Fisher",male,43.0,1st,Cherbourg,United States,30.1311,no
"Humblen, Mr. Adolf Mathias Nicolai Olsen",male,42.0,3rd,Southampton,Norway,7.13,no
"Hunt, Mr. George Henry",male,34.0,2nd,Southampton,England,12.0506,no
"Hyman, Mr. Abraham Joseph",male,34.0,3rd,Southampton,England,7.1709,yes
"Ibrāhīm, Mrs. Sāfiyah",female,18.0,3rd,Cherbourg,Syria,7.0407,yes
"Ibrahim Shawah, Mr. Yousseff",male,33.0,3rd,Cherbourg,Lebanon,14.0902,no
"Ilett, Miss. Bertha",female,17.0,2nd,Southampton,Channel Islands,10.1,yes
"Ilmakangas, Miss. Ida Livija",female,17.0,3rd,Southampton,United States,7.1806,no
"Ilmakangas, Miss. Pieta Sofia",female,25.0,3rd,Southampton,Finland,7.1806,no
"Isham, Miss. Ann Elizabeth",female,50.0,1st,Cherbourg,United States,28.1403,no
"Ivanoff, Mr. Kanio",male,20.0,3rd,Southampton,Bulgaria,7.1711,no
"Jacobsohn, Mrs. Amy Frances Christy",female,24.0,2nd,Southampton,England,27.0,yes
"Jacobsohn, Mr. Sidney Samuel",male,42.0,2nd,Southampton,South Africa,27.0,no
"Jalševac, Mr. Ivan",male,30.0,3rd,Cherbourg,Croatia (Modern),7.1711,yes
"Jansson, Mr. Carl Olof",male,21.0,3rd,Southampton,Sweden,7.1511,yes
"Jarvis, Mr. Denzil John",male,46.0,2nd,Southampton,Wales,15.0,no
"Jefferys, Mr. Clifford Thomas",male,24.0,2nd,Southampton,England,31.1,no
"Jefferys, Mr. Ernest Wilfred",male,21.0,2nd,Southampton,England,31.1,no
"Jenkin, Mr. Stephen Curnow",male,32.0,2nd,Southampton,England,10.1,no
"Jensen, Mr. Hans Peder",male,20.0,3rd,Southampton,Denmark,7.1701,no
"Jensen, Mr. Niels Rasmus",male,48.0,3rd,Southampton,Denmark,7.0101,no
"Jensen, Mr. Svend Lauritz",male,17.0,3rd,Southampton,Denmark,7.1701,no
"Jermyn, Miss. Annie Jane",female,26.0,3rd,Queenstown,Ireland,7.15,yes
"Jerwan, Mrs. Marie Marthe",female,23.0,2nd,Cherbourg,United States,13.151,yes
"Johannesen, Mr. Bernt Johannes",male,29.0,3rd,Southampton,Norway,8.0203,yes
"Johanson, Mr. Jakob Alfred",male,34.0,3rd,Southampton,Finland,6.0911,no
"Johansson, Mr. Erik",male,22.0,3rd,Southampton,Sweden,7.1511,no
"Johansson, Mr. Gustaf Joel",male,33.0,3rd,Southampton,Sweden,8.1301,no
"Johansson, Mr. Karl Johan",male,31.0,3rd,Southampton,United States,7.1506,no
"Johansson, Mr. Nils",male,29.0,3rd,Southampton,United States,7.1701,no
"Johansson Palmquist, Mr. Oskar Leander",male,26.0,3rd,Southampton,Sweden,7.1506,yes
"Johnson, Mr. Malkolm Joackim",male,33.0,3rd,Southampton,United States,7.1506,no
"Johnston, Master. William Andrew",male,8.0,3rd,Southampton,England,23.09,no
"Johnston, Miss. Catherine Nellie",female,7.0,3rd,Southampton,England,23.09,no
"Johnston, Mr. Andrew Emslie",male,35.0,3rd,Southampton,Scotland,23.09,no
"Johnston, Mrs. Eliza",female,36.0,3rd,Southampton,Scotland,23.09,no
"Jones, Mr. Charles Cresson",male,46.0,1st,Southampton,United States,26.0,no
"Jonkoff, Mr. Lalio",male,23.0,3rd,Southampton,Bulgaria,7.1711,no
"Jonsson, Mr. Carl",male,25.0,3rd,Southampton,Sweden,7.1701,yes
"Jönsson, Mr. Nils Hilding",male,27.0,3rd,Southampton,Sweden,7.1701,no
"Joseph (Shahin), Mr. Elias",male,39.0,3rd,Cherbourg,Lebanon,7.0407,no
"Julian, Mr. Henry Forbes",male,50.0,1st,Southampton,England,26.0,no
"Jussila, Miss. Katriina",female,20.0,3rd,Southampton,Finland,9.161,no
"Jussila, Miss. Mari Aina",female,21.0,3rd,Southampton,Finland,9.161,no
"Jussila, Mr. Eiriik",male,32.0,3rd,Southampton,Finland,7.1806,yes
"Kallio, Mr. Nikolai Erland",male,17.0,3rd,Southampton,Finland,7.0206,no
"Kalvik, Mr. Johannes Halvorsen",male,21.0,3rd,Southampton,Norway,8.0808,no
"Kantor, Mr. Sinai",male,34.0,2nd,Southampton,Russia,26.0,no
"Kantor, Mrs. Miriam",female,24.0,2nd,Southampton,Russia,26.0,yes
"Karajic, Mr. Milan",male,30.0,3rd,Southampton,Hungary,7.1711,no
"Karlsson, Mr. Einar Gervasius",male,21.0,3rd,Southampton,Sweden,7.1511,yes
"Karlsson, Mr. Julius Konrad Eugen",male,33.0,3rd,Southampton,Sweden,7.1701,no
"Karlsson, Mr. Nils August",male,22.0,3rd,Southampton,Sweden,7.1005,no
"Karnes, Mrs. Claire",female,22.0,2nd,Southampton,United States,21.0,no
"Karun, Miss. Manca",female,5.0,3rd,Cherbourg,Slovenia,13.0804,yes
"Karun, Mr. Franz",male,39.0,3rd,Cherbourg,United States,13.0804,yes
"Katavelos, Mr. Vasilios G.",male,19.0,3rd,Cherbourg,Greece,7.0407,no
"Keane, Miss. Nora Agnes",female,46.0,2nd,Queenstown,Ireland,12.07,yes
"Keane, Mr. Andrew",male,23.0,3rd,Queenstown,Ireland,7.15,no
"Keane, Mr. Daniel",male,35.0,2nd,Queenstown,Ireland,12.07,no
"Keefe, Mr. Arthur",male,39.0,3rd,Southampton,United States,7.05,no
"Keeping, Mr. Edwin Herbert",male,33.0,1st,Southampton,England,211.1,no
"Kelly, Miss. Anna Katherine",female,20.0,3rd,Queenstown,Ireland,7.15,yes
"Kelly, Miss. Mary",female,22.0,3rd,Queenstown,Ireland,7.15,yes
"Kelly, Mr. James",male,19.0,3rd,Southampton,Scotland,8.01,no
"Kelly, Mr. James",male,44.0,3rd,Queenstown,Ireland,7.1607,no
"Kelly, Mrs. Fanny Maria",female,49.0,2nd,Southampton,England,13.1,yes
"Kennedy, Mr. John",male,24.0,3rd,Queenstown,Ireland,7.15,yes
"Kent, Mr. Edward Austin",male,58.0,1st,Cherbourg,United States,29.14,no
"Kenyon, Mr. Frederick Roland",male,41.0,1st,Southampton,United States,51.1703,no
"Kenyon, Mrs. Marion Estelle",female,40.0,1st,Southampton,United States,51.1703,yes
"Khalil, Mr. Betros",male,25.0,3rd,Cherbourg,Lebanon,14.0901,no
